SCH_YEAR,SCH_CD,DIST_NAME,SCH_NAME,DISAGG_LABEL,FOUR_YEAR_GRADRATE
20112012,001010,Adair County,Adair County High School,All Students,82.8
20112012,001010,Adair County,Adair County High School,Male,82.0
20112012,001010,Adair County,Adair County High School,Female,83.6
20112012,001010,Adair County,Adair County High School,White (Non-Hispanic),80.3
20112012,001010,Adair County,Adair County High School,African American,***
20112012,001010,Adair County,Adair County High School,Hispanic,***
20112012,001010,Adair County,Adair County High School,Asian,***
20112012,001010,Adair County,Adair County High School,American Indian or Alaska Native,***
20112012,001010,Adair County,Adair County High School,Two or more races,***
20112012,001,Adair County,--District Total--,All Students,76.4
20112012,001,Adair County,--District Total--,Male,69.4
20112012,001,Adair County,--District Total--,Female,83.6
20112012,001,Adair County,--District Total--,White (Non-Hispanic),77.3
20112012,001,Adair County,--District Total--,African American,***
20112012,001,Adair County,--District Total--,Hispanic,***
20112012,001,Adair County,--District Total--,Asian,***
20112012,001,Adair County,--District Total--,American Indian or Alaska Native,***
20112012,001,Adair County,--District Total--,Two or more races,***
20112012,005020,Allen County,Allen County-Scottsville High School,All Students,76.8
20112012,005020,Allen County,Allen County-Scottsville High School,Male,74.7
20112012,005020,Allen County,Allen County-Scottsville High School,Female,78.9
20112012,005020,Allen County,Allen County-Scottsville High School,White (Non-Hispanic),77.0
20112012,005020,Allen County,Allen County-Scottsville High School,African American,***
20112012,005020,Allen County,Allen County-Scottsville High School,Hispanic,***
20112012,005020,Allen County,Allen County-Scottsville High School,Asian,***
20112012,005020,Allen County,Allen County-Scottsville High School,American Indian or Alaska Native,***
20112012,005020,Allen County,Allen County-Scottsville High School,Two or more races,***
20112012,005,Allen County,--District Total--,All Students,76.8
20112012,005,Allen County,--District Total--,Male,74.7
20112012,005,Allen County,--District Total--,Female,78.9
20112012,005,Allen County,--District Total--,White (Non-Hispanic),77.0
20112012,005,Allen County,--District Total--,African American,***
20112012,005,Allen County,--District Total--,Hispanic,***
20112012,005,Allen County,--District Total--,Asian,***
20112012,005,Allen County,--District Total--,American Indian or Alaska Native,***
20112012,005,Allen County,--District Total--,Two or more races,***
20112012,011020,Anderson County,Anderson County High School,All Students,84.7
20112012,011020,Anderson County,Anderson County High School,Male,83.2
20112012,011020,Anderson County,Anderson County High School,Female,86.1
20112012,011020,Anderson County,Anderson County High School,White (Non-Hispanic),84.0
20112012,011020,Anderson County,Anderson County High School,African American,***
20112012,011020,Anderson County,Anderson County High School,Hispanic,***
20112012,011020,Anderson County,Anderson County High School,Asian,***
20112012,011020,Anderson County,Anderson County High School,American Indian or Alaska Native,***
20112012,011020,Anderson County,Anderson County High School,Two or more races,***
20112012,011,Anderson County,--District Total--,All Students,84.7
20112012,011,Anderson County,--District Total--,Male,83.2
20112012,011,Anderson County,--District Total--,Female,86.1
20112012,011,Anderson County,--District Total--,White (Non-Hispanic),84.0
20112012,011,Anderson County,--District Total--,African American,***
20112012,011,Anderson County,--District Total--,Hispanic,***
20112012,011,Anderson County,--District Total--,Asian,***
20112012,011,Anderson County,--District Total--,American Indian or Alaska Native,***
20112012,011,Anderson County,--District Total--,Two or more races,***
20112012,012010,Ashland Independent,Paul G. Blazer High School,All Students,82.6
20112012,012010,Ashland Independent,Paul G. Blazer High School,Male,78.4
20112012,012010,Ashland Independent,Paul G. Blazer High School,Female,87.2
20112012,012010,Ashland Independent,Paul G. Blazer High School,White (Non-Hispanic),81.2
20112012,012010,Ashland Independent,Paul G. Blazer High School,African American,***
20112012,012010,Ashland Independent,Paul G. Blazer High School,Hispanic,***
20112012,012010,Ashland Independent,Paul G. Blazer High School,Asian,***
20112012,012010,Ashland Independent,Paul G. Blazer High School,American Indian or Alaska Native,***
20112012,012010,Ashland Independent,Paul G. Blazer High School,Two or more races,***
20112012,012,Ashland Independent,--District Total--,All Students,86.1
20112012,012,Ashland Independent,--District Total--,Male,82.4
20112012,012,Ashland Independent,--District Total--,Female,90.4
20112012,012,Ashland Independent,--District Total--,White (Non-Hispanic),84.6
20112012,012,Ashland Independent,--District Total--,African American,***
20112012,012,Ashland Independent,--District Total--,Hispanic,***
20112012,012,Ashland Independent,--District Total--,Asian,***
20112012,012,Ashland Independent,--District Total--,American Indian or Alaska Native,***
20112012,012,Ashland Independent,--District Total--,Two or more races,***
20112012,013011,Augusta Independent,Augusta Independent School,All Students,100.0
20112012,013011,Augusta Independent,Augusta Independent School,Male,***
20112012,013011,Augusta Independent,Augusta Independent School,Female,***
20112012,013011,Augusta Independent,Augusta Independent School,White (Non-Hispanic),***
20112012,013011,Augusta Independent,Augusta Independent School,African American,***
20112012,013011,Augusta Independent,Augusta Independent School,Hispanic,***
20112012,013011,Augusta Independent,Augusta Independent School,Asian,***
20112012,013011,Augusta Independent,Augusta Independent School,American Indian or Alaska Native,***
