SCH_YEAR,DIST_NAME,SCH_NAME,DISAGG_LABEL,FOUR_YR_GRADRATE,,,,,,,,,,,,
20122013,Adair County,Adair County High School,All Students,89.8,,,,,,,,,,,,
20122013,Adair County,Adair County High School,Male,86.0,,,,,,,,,,,,
20122013,Adair County,Adair County High School,Female,92.8,,,,,,,,,,,,
20122013,Adair County,Adair County High School,White (Non-Hispanic),89.4,,,,,,,,,,,,
20122013,Adair County,Adair County High School,African American,***,,,,,,,,,,,,
20122013,Adair County,Adair County High School,Hispanic,***,,,,,,,,,,,,
20122013,Adair County,Adair County High School,Asian,***,,,,,,,,,,,,
20122013,Adair County,Adair County High School,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Adair County,Adair County High School,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Adair County,Adair County High School,Two or more races,***,,,,,,,,,,,,
20122013,Adair County,Adair County High School,Migrant,***,,,,,,,,,,,,
20122013,Adair County,Adair County High School,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Adair County,Adair County High School,Free/Reduced-Price Meals,87.0,,,,,,,,,,,,
20122013,Adair County,Adair County High School,Disability-With IEP (Total),76.5,,,,,,,,,,,,
20122013,Adair County,Adair County High School,Gap Group (non-duplicated),86.5,,,,,,,,,,,,
20122013,Adair County,--District Total--,All Students,89.8,,,,,,,,,,,,
20122013,Adair County,--District Total--,Male,86.0,,,,,,,,,,,,
20122013,Adair County,--District Total--,Female,92.8,,,,,,,,,,,,
20122013,Adair County,--District Total--,White (Non-Hispanic),89.4,,,,,,,,,,,,
20122013,Adair County,--District Total--,African American,***,,,,,,,,,,,,
20122013,Adair County,--District Total--,Hispanic,***,,,,,,,,,,,,
20122013,Adair County,--District Total--,Asian,***,,,,,,,,,,,,
20122013,Adair County,--District Total--,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Adair County,--District Total--,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Adair County,--District Total--,Two or more races,***,,,,,,,,,,,,
20122013,Adair County,--District Total--,Migrant,***,,,,,,,,,,,,
20122013,Adair County,--District Total--,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Adair County,--District Total--,Free/Reduced-Price Meals,87.0,,,,,,,,,,,,
20122013,Adair County,--District Total--,Disability-With IEP (Total),76.5,,,,,,,,,,,,
20122013,Adair County,--District Total--,Gap Group (non-duplicated),86.5,,,,,,,,,,,,
20122013,Allen County,Allen County-Scottsville High School,All Students,91.0,,,,,,,,,,,,
20122013,Allen County,Allen County-Scottsville High School,Male,89.0,,,,,,,,,,,,
20122013,Allen County,Allen County-Scottsville High School,Female,93.1,,,,,,,,,,,,
20122013,Allen County,Allen County-Scottsville High School,White (Non-Hispanic),90.9,,,,,,,,,,,,
20122013,Allen County,Allen County-Scottsville High School,African American,***,,,,,,,,,,,,
20122013,Allen County,Allen County-Scottsville High School,Hispanic,***,,,,,,,,,,,,
20122013,Allen County,Allen County-Scottsville High School,Asian,***,,,,,,,,,,,,
20122013,Allen County,Allen County-Scottsville High School,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Allen County,Allen County-Scottsville High School,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Allen County,Allen County-Scottsville High School,Two or more races,***,,,,,,,,,,,,
20122013,Allen County,Allen County-Scottsville High School,Migrant,***,,,,,,,,,,,,
20122013,Allen County,Allen County-Scottsville High School,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Allen County,Allen County-Scottsville High School,Free/Reduced-Price Meals,88.2,,,,,,,,,,,,
20122013,Allen County,Allen County-Scottsville High School,Disability-With IEP (Total),78.9,,,,,,,,,,,,
20122013,Allen County,Allen County-Scottsville High School,Gap Group (non-duplicated),87.7,,,,,,,,,,,,
20122013,Allen County,--District Total--,All Students,91.0,,,,,,,,,,,,
20122013,Allen County,--District Total--,Male,89.0,,,,,,,,,,,,
20122013,Allen County,--District Total--,Female,93.1,,,,,,,,,,,,
20122013,Allen County,--District Total--,White (Non-Hispanic),90.9,,,,,,,,,,,,
20122013,Allen County,--District Total--,African American,***,,,,,,,,,,,,
20122013,Allen County,--District Total--,Hispanic,***,,,,,,,,,,,,
20122013,Allen County,--District Total--,Asian,***,,,,,,,,,,,,
20122013,Allen County,--District Total--,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Allen County,--District Total--,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Allen County,--District Total--,Two or more races,***,,,,,,,,,,,,
20122013,Allen County,--District Total--,Migrant,***,,,,,,,,,,,,
20122013,Allen County,--District Total--,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Allen County,--District Total--,Free/Reduced-Price Meals,88.2,,,,,,,,,,,,
20122013,Allen County,--District Total--,Disability-With IEP (Total),78.9,,,,,,,,,,,,
20122013,Allen County,--District Total--,Gap Group (non-duplicated),87.7,,,,,,,,,,,,
20122013,Anderson County,Anderson County High School,All Students,96.5,,,,,,,,,,,,
20122013,Anderson County,Anderson County High School,Male,94.9,,,,,,,,,,,,
20122013,Anderson County,Anderson County High School,Female,97.9,,,,,,,,,,,,
20122013,Anderson County,Anderson County High School,White (Non-Hispanic),96.6,,,,,,,,,,,,
20122013,Anderson County,Anderson County High School,African American,***,,,,,,,,,,,,
20122013,Anderson County,Anderson County High School,Hispanic,***,,,,,,,,,,,,
20122013,Anderson County,Anderson County High School,Asian,***,,,,,,,,,,,,
20122013,Anderson County,Anderson County High School,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Anderson County,Anderson County High School,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Anderson County,Anderson County High School,Two or more races,***,,,,,,,,,,,,
20122013,Anderson County,Anderson County High School,Migrant,***,,,,,,,,,,,,
20122013,Anderson County,Anderson County High School,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Anderson County,Anderson County High School,Free/Reduced-Price Meals,93.1,,,,,,,,,,,,
20122013,Anderson County,Anderson County High School,Disability-With IEP (Total),94.7,,,,,,,,,,,,
20122013,Anderson County,Anderson County High School,Gap Group (non-duplicated),93.7,,,,,,,,,,,,
