SCH_YEAR,SCH_NAME,SCH_CD,GRAD_TARGETS,DISAGG_LABEL,FOUR_YR_GRADRATE
20132014,Adair County High School,001010,Actual Score,All Students,90.4
20132014,Adair County High School,001010,Met Target,All Students,
20132014,Adair County High School,001010,Denominator Count,All Students,197
20132014,Adair County High School,001010,Numerator Count,All Students,178
20132014,Adair County High School,001010,Delivery Target,All Students,
20132014,Adair County High School,001010,Met Target,Male,
20132014,Adair County High School,001010,Numerator Count,Male,76
20132014,Adair County High School,001010,Denominator Count,Male,88
20132014,Adair County High School,001010,Delivery Target,Male,
20132014,Adair County High School,001010,Actual Score,Male,86.4
20132014,Adair County High School,001010,Numerator Count,Female,102
20132014,Adair County High School,001010,Denominator Count,Female,109
20132014,Adair County High School,001010,Met Target,Female,
20132014,Adair County High School,001010,Actual Score,Female,93.6
20132014,Adair County High School,001010,Delivery Target,Female,
20132014,Adair County High School,001010,Delivery Target,White (Non-Hispanic),
20132014,Adair County High School,001010,Numerator Count,White (Non-Hispanic),163
20132014,Adair County High School,001010,Denominator Count,White (Non-Hispanic),181
20132014,Adair County High School,001010,Actual Score,White (Non-Hispanic),90.1
20132014,Adair County High School,001010,Met Target,White (Non-Hispanic),
20132014,Adair County High School,001010,Actual Score,African American,***
20132014,Adair County High School,001010,Delivery Target,African American,
20132014,Adair County High School,001010,Met Target,African American,
20132014,Adair County High School,001010,Numerator Count,African American,***
20132014,Adair County High School,001010,Denominator Count,African American,***
20132014,Adair County High School,001010,Met Target,Hispanic,
20132014,Adair County High School,001010,Actual Score,Hispanic,***
20132014,Adair County High School,001010,Numerator Count,Hispanic,***
20132014,Adair County High School,001010,Delivery Target,Hispanic,
20132014,Adair County High School,001010,Denominator Count,Hispanic,***
20132014,Adair County High School,001010,Delivery Target,Asian,
20132014,Adair County High School,001010,Actual Score,Asian,
20132014,Adair County High School,001010,Denominator Count,Asian,
20132014,Adair County High School,001010,Numerator Count,Asian,
20132014,Adair County High School,001010,Met Target,Asian,
20132014,Adair County High School,001010,Delivery Target,American Indian or Alaska Native,
20132014,Adair County High School,001010,Actual Score,American Indian or Alaska Native,***
20132014,Adair County High School,001010,Met Target,American Indian or Alaska Native,
20132014,Adair County High School,001010,Denominator Count,American Indian or Alaska Native,***
20132014,Adair County High School,001010,Numerator Count,American Indian or Alaska Native,***
20132014,Adair County High School,001010,Met Target,Native Hawaiian or Other Pacific Islander,
20132014,Adair County High School,001010,Numerator Count,Native Hawaiian or Other Pacific Islander,
20132014,Adair County High School,001010,Denominator Count,Native Hawaiian or Other Pacific Islander,
20132014,Adair County High School,001010,Delivery Target,Native Hawaiian or Other Pacific Islander,
20132014,Adair County High School,001010,Actual Score,Native Hawaiian or Other Pacific Islander,
20132014,Adair County High School,001010,Denominator Count,Two or more races,***
20132014,Adair County High School,001010,Met Target,Two or more races,
20132014,Adair County High School,001010,Actual Score,Two or more races,***
20132014,Adair County High School,001010,Delivery Target,Two or more races,
20132014,Adair County High School,001010,Numerator Count,Two or more races,***
20132014,Adair County High School,001010,Actual Score,Migrant,***
20132014,Adair County High School,001010,Met Target,Migrant,
20132014,Adair County High School,001010,Denominator Count,Migrant,***
20132014,Adair County High School,001010,Delivery Target,Migrant,
20132014,Adair County High School,001010,Numerator Count,Migrant,***
20132014,Adair County High School,001010,Actual Score,Limited English Proficiency,
20132014,Adair County High School,001010,Met Target,Limited English Proficiency,
20132014,Adair County High School,001010,Delivery Target,Limited English Proficiency,
20132014,Adair County High School,001010,Denominator Count,Limited English Proficiency,
20132014,Adair County High School,001010,Numerator Count,Limited English Proficiency,
20132014,Adair County High School,001010,Delivery Target,Free/Reduced-Price Meals,
20132014,Adair County High School,001010,Denominator Count,Free/Reduced-Price Meals,116
20132014,Adair County High School,001010,Numerator Count,Free/Reduced-Price Meals,99
20132014,Adair County High School,001010,Actual Score,Free/Reduced-Price Meals,85.3
20132014,Adair County High School,001010,Met Target,Free/Reduced-Price Meals,
20132014,Adair County High School,001010,Actual Score,Disability-With IEP (Total),68.4
20132014,Adair County High School,001010,Denominator Count,Disability-With IEP (Total),19
20132014,Adair County High School,001010,Numerator Count,Disability-With IEP (Total),13
20132014,Adair County High School,001010,Delivery Target,Disability-With IEP (Total),
20132014,Adair County High School,001010,Met Target,Disability-With IEP (Total),
20132014,Adair County High School,001010,Actual Score,GAP,85.8
20132014,Adair County High School,001010,Numerator Count,GAP,109
20132014,Adair County High School,001010,Delivery Target,GAP,
20132014,Adair County High School,001010,Met Target,GAP,
20132014,Adair County High School,001010,Denominator Count,GAP,127
20132014,---District Total---,001,Numerator Count,All Students,178
20132014,---District Total---,001,Delivery Target,All Students,
20132014,---District Total---,001,Actual Score,All Students,90.4
20132014,---District Total---,001,Met Target,All Students,
20132014,---District Total---,001,Denominator Count,All Students,197
20132014,---District Total---,001,Delivery Target,Male,
20132014,---District Total---,001,Denominator Count,Male,88
20132014,---District Total---,001,Numerator Count,Male,76
20132014,---District Total---,001,Actual Score,Male,86.4
20132014,---District Total---,001,Met Target,Male,
20132014,---District Total---,001,Numerator Count,Female,102
20132014,---District Total---,001,Actual Score,Female,93.6
20132014,---District Total---,001,Met Target,Female,
20132014,---District Total---,001,Denominator Count,Female,109
20132014,---District Total---,001,Delivery Target,Female,
20132014,---District Total---,001,Met Target,White (Non-Hispanic),
20132014,---District Total---,001,Delivery Target,White (Non-Hispanic),
20132014,---District Total---,001,Denominator Count,White (Non-Hispanic),181
20132014,---District Total---,001,Numerator Count,White (Non-Hispanic),163
20132014,---District Total---,001,Actual Score,White (Non-Hispanic),90.1
20132014,---District Total---,001,Actual Score,African American,***
20132014,---District Total---,001,Denominator Count,African American,***
20132014,---District Total---,001,Numerator Count,African American,***
20132014,---District Total---,001,Delivery Target,African American,
20132014,---District Total---,001,Met Target,African American,
20132014,---District Total---,001,Delivery Target,Hispanic,
20132014,---District Total---,001,Actual Score,Hispanic,***
20132014,---District Total---,001,Denominator Count,Hispanic,***
20132014,---District Total---,001,Met Target,Hispanic,
20132014,---District Total---,001,Numerator Count,Hispanic,***
20132014,---District Total---,001,Actual Score,Asian,
20132014,---District Total---,001,Denominator Count,Asian,
20132014,---District Total---,001,Delivery Target,Asian,
20132014,---District Total---,001,Numerator Count,Asian,
20132014,---District Total---,001,Met Target,Asian,
20132014,---District Total---,001,Met Target,American Indian or Alaska Native,
20132014,---District Total---,001,Numerator Count,American Indian or Alaska Native,***
20132014,---District Total---,001,Delivery Target,American Indian or Alaska Native,
20132014,---District Total---,001,Denominator Count,American Indian or Alaska Native,***
20132014,---District Total---,001,Actual Score,American Indian or Alaska Native,***
20132014,---District Total---,001,Numerator Count,Native Hawaiian or Other Pacific Islander,
20132014,---District Total---,001,Met Target,Native Hawaiian or Other Pacific Islander,
20132014,---District Total---,001,Delivery Target,Native Hawaiian or Other Pacific Islander,
20132014,---District Total---,001,Actual Score,Native Hawaiian or Other Pacific Islander,
20132014,---District Total---,001,Denominator Count,Native Hawaiian or Other Pacific Islander,
20132014,---District Total---,001,Delivery Target,Two or more races,
20132014,---District Total---,001,Numerator Count,Two or more races,***
20132014,---District Total---,001,Denominator Count,Two or more races,***
20132014,---District Total---,001,Met Target,Two or more races,
20132014,---District Total---,001,Actual Score,Two or more races,***
20132014,---District Total---,001,Numerator Count,Migrant,***
20132014,---District Total---,001,Actual Score,Migrant,***
20132014,---District Total---,001,Denominator Count,Migrant,***
20132014,---District Total---,001,Delivery Target,Migrant,
20132014,---District Total---,001,Met Target,Migrant,
20132014,---District Total---,001,Denominator Count,Limited English Proficiency,
20132014,---District Total---,001,Actual Score,Limited English Proficiency,
20132014,---District Total---,001,Numerator Count,Limited English Proficiency,
20132014,---District Total---,001,Met Target,Limited English Proficiency,
20132014,---District Total---,001,Delivery Target,Limited English Proficiency,
20132014,---District Total---,001,Numerator Count,Free/Reduced-Price Meals,99
20132014,---District Total---,001,Met Target,Free/Reduced-Price Meals,
20132014,---District Total---,001,Actual Score,Free/Reduced-Price Meals,85.3
20132014,---District Total---,001,Denominator Count,Free/Reduced-Price Meals,116
20132014,---District Total---,001,Delivery Target,Free/Reduced-Price Meals,
20132014,---District Total---,001,Actual Score,Disability-With IEP (Total),68.4
20132014,---District Total---,001,Numerator Count,Disability-With IEP (Total),13
20132014,---District Total---,001,Met Target,Disability-With IEP (Total),
20132014,---District Total---,001,Denominator Count,Disability-With IEP (Total),19
20132014,---District Total---,001,Delivery Target,Disability-With IEP (Total),
20132014,---District Total---,001,Actual Score,GAP,85.8
20132014,---District Total---,001,Denominator Count,GAP,127
20132014,---District Total---,001,Met Target,GAP,
20132014,---District Total---,001,Numerator Count,GAP,109
20132014,---District Total---,001,Delivery Target,GAP,
20132014,Allen County-Scottsville High School,005020,Actual Score,All Students,92.3
20132014,Allen County-Scottsville High School,005020,Delivery Target,All Students,
20132014,Allen County-Scottsville High School,005020,Denominator Count,All Students,208
20132014,Allen County-Scottsville High School,005020,Met Target,All Students,
20132014,Allen County-Scottsville High School,005020,Numerator Count,All Students,192
20132014,Allen County-Scottsville High School,005020,Denominator Count,Male,108
20132014,Allen County-Scottsville High School,005020,Met Target,Male,
20132014,Allen County-Scottsville High School,005020,Actual Score,Male,89.8
20132014,Allen County-Scottsville High School,005020,Delivery Target,Male,
