SCH_YEAR,SCH_NAME,SCH_CD,COHORT_TYPE,TARGET_LABEL,DISAGG_LABEL,FOUR_YR_GRADRATE
20152016,Adair County High School,001010,FIVE YEAR,Actual Score,African American,***
20152016,Adair County High School,001010,FIVE YEAR,Actual Score,All Students,99.4
20152016,Adair County High School,001010,FIVE YEAR,Actual Score,American Indian or Alaska Native,
20152016,Adair County High School,001010,FIVE YEAR,Actual Score,Asian,
20152016,Adair County High School,001010,FIVE YEAR,Actual Score,Disability-With IEP (Total),***
20152016,Adair County High School,001010,FIVE YEAR,Actual Score,English Learners,
20152016,Adair County High School,001010,FIVE YEAR,Actual Score,Female,98.8
20152016,Adair County High School,001010,FIVE YEAR,Actual Score,Free/Reduced-Price Meals,99.0
20152016,Adair County High School,001010,FIVE YEAR,Actual Score,GAP,99.0
20152016,Adair County High School,001010,FIVE YEAR,Actual Score,Hispanic,***
20152016,Adair County High School,001010,FIVE YEAR,Actual Score,Male,100.0
20152016,Adair County High School,001010,FIVE YEAR,Actual Score,Migrant,***
20152016,Adair County High School,001010,FIVE YEAR,Actual Score,Native Hawaiian or Other Pacific Islander,
20152016,Adair County High School,001010,FIVE YEAR,Actual Score,Two or more races,***
20152016,Adair County High School,001010,FIVE YEAR,Actual Score,White (Non-Hispanic),99.4
20152016,Adair County High School,001010,FIVE YEAR,Numerator Count,African American,***
20152016,Adair County High School,001010,FIVE YEAR,Numerator Count,All Students,164
20152016,Adair County High School,001010,FIVE YEAR,Numerator Count,American Indian or Alaska Native,
20152016,Adair County High School,001010,FIVE YEAR,Numerator Count,Asian,
20152016,Adair County High School,001010,FIVE YEAR,Numerator Count,Disability-With IEP (Total),***
20152016,Adair County High School,001010,FIVE YEAR,Numerator Count,Female,82
20152016,Adair County High School,001010,FIVE YEAR,Numerator Count,Free/Reduced-Price Meals,96
20152016,Adair County High School,001010,FIVE YEAR,Numerator Count,GAP,97
20152016,Adair County High School,001010,FIVE YEAR,Numerator Count,Hispanic,***
20152016,Adair County High School,001010,FIVE YEAR,Numerator Count,Limited English Proficiency,
20152016,Adair County High School,001010,FIVE YEAR,Numerator Count,Male,82
20152016,Adair County High School,001010,FIVE YEAR,Numerator Count,Migrant,***
20152016,Adair County High School,001010,FIVE YEAR,Numerator Count,Native Hawaiian or Other Pacific Islander,
20152016,Adair County High School,001010,FIVE YEAR,Numerator Count,Two or more races,***
20152016,Adair County High School,001010,FIVE YEAR,Numerator Count,White (Non-Hispanic),155
20152016,Adair County High School,001010,FIVE YEAR,Denominator Count,African American,***
20152016,Adair County High School,001010,FIVE YEAR,Denominator Count,All Students,165
20152016,Adair County High School,001010,FIVE YEAR,Denominator Count,American Indian or Alaska Native,
20152016,Adair County High School,001010,FIVE YEAR,Denominator Count,Asian,
20152016,Adair County High School,001010,FIVE YEAR,Denominator Count,Disability-With IEP (Total),***
20152016,Adair County High School,001010,FIVE YEAR,Denominator Count,Female,83
20152016,Adair County High School,001010,FIVE YEAR,Denominator Count,Free/Reduced-Price Meals,97
20152016,Adair County High School,001010,FIVE YEAR,Denominator Count,GAP,98
20152016,Adair County High School,001010,FIVE YEAR,Denominator Count,Hispanic,***
20152016,Adair County High School,001010,FIVE YEAR,Denominator Count,Limited English Proficiency,
20152016,Adair County High School,001010,FIVE YEAR,Denominator Count,Male,82
20152016,Adair County High School,001010,FIVE YEAR,Denominator Count,Migrant,***
20152016,Adair County High School,001010,FIVE YEAR,Denominator Count,Native Hawaiian or Other Pacific Islander,
20152016,Adair County High School,001010,FIVE YEAR,Denominator Count,Two or more races,***
20152016,Adair County High School,001010,FIVE YEAR,Denominator Count,White (Non-Hispanic),156
20152016,Adair County High School,001010,FOUR YEAR,Delivery Target,African American,
20152016,Adair County High School,001010,FOUR YEAR,Delivery Target,All Students,95.0
20152016,Adair County High School,001010,FOUR YEAR,Delivery Target,American Indian or Alaska Native,
20152016,Adair County High School,001010,FOUR YEAR,Delivery Target,Asian,
20152016,Adair County High School,001010,FOUR YEAR,Delivery Target,Disability-With IEP (Total),83.6
20152016,Adair County High School,001010,FOUR YEAR,Delivery Target,English Learners,
20152016,Adair County High School,001010,FOUR YEAR,Delivery Target,Female,94.9
20152016,Adair County High School,001010,FOUR YEAR,Delivery Target,Free/Reduced-Price Meals,91.5
20152016,Adair County High School,001010,FOUR YEAR,Delivery Target,GAP,91.9
20152016,Adair County High School,001010,FOUR YEAR,Delivery Target,Hispanic,
20152016,Adair County High School,001010,FOUR YEAR,Delivery Target,Male,95.2
20152016,Adair County High School,001010,FOUR YEAR,Delivery Target,Migrant,
20152016,Adair County High School,001010,FOUR YEAR,Delivery Target,Native Hawaiian or Other Pacific Islander,
20152016,Adair County High School,001010,FOUR YEAR,Delivery Target,Two or more races,
20152016,Adair County High School,001010,FOUR YEAR,Delivery Target,White (Non-Hispanic),94.7
20152016,Adair County High School,001010,FOUR YEAR,Actual Score,African American,***
20152016,Adair County High School,001010,FOUR YEAR,Actual Score,All Students,98.5
