SCH_YEAR,SCH_NUMBER,SCH_NAME,COHORT_TYPE,TARGET_LABEL,DISAGG_LABEL,FOUR_YR_GRADRATE
20162017,010,Adair County High School,FIVE YEAR,Actual Score,African American,***
20162017,010,Adair County High School,FIVE YEAR,Actual Score,All Students,99.4
20162017,010,Adair County High School,FIVE YEAR,Actual Score,American Indian or Alaska Native,
20162017,010,Adair County High School,FIVE YEAR,Actual Score,Asian,
20162017,010,Adair County High School,FIVE YEAR,Actual Score,Disability-With IEP (Total),***
20162017,010,Adair County High School,FIVE YEAR,Actual Score,English Learners,
20162017,010,Adair County High School,FIVE YEAR,Actual Score,Female,98.8
20162017,010,Adair County High School,FIVE YEAR,Actual Score,Free/Reduced-Price Meals,99.0
20162017,010,Adair County High School,FIVE YEAR,Actual Score,GAP,99.0
20162017,010,Adair County High School,FIVE YEAR,Actual Score,Hispanic,***
20162017,010,Adair County High School,FIVE YEAR,Actual Score,Male,100.0
20162017,010,Adair County High School,FIVE YEAR,Actual Score,Migrant,***
20162017,010,Adair County High School,FIVE YEAR,Actual Score,Native Hawaiian or Other Pacific Islander,
20162017,010,Adair County High School,FIVE YEAR,Actual Score,Two or more races,***
20162017,010,Adair County High School,FIVE YEAR,Actual Score,White (Non-Hispanic),99.4
20162017,010,Adair County High School,FIVE YEAR,Numerator Count,African American,***
20162017,010,Adair County High School,FIVE YEAR,Numerator Count,All Students,164
20162017,010,Adair County High School,FIVE YEAR,Numerator Count,American Indian or Alaska Native,
20162017,010,Adair County High School,FIVE YEAR,Numerator Count,Asian,
20162017,010,Adair County High School,FIVE YEAR,Numerator Count,Disability-With IEP (Total),***
20162017,010,Adair County High School,FIVE YEAR,Numerator Count,Female,82
20162017,010,Adair County High School,FIVE YEAR,Numerator Count,Free/Reduced-Price Meals,96
20162017,010,Adair County High School,FIVE YEAR,Numerator Count,GAP,97
20162017,010,Adair County High School,FIVE YEAR,Numerator Count,Hispanic,***
20162017,010,Adair County High School,FIVE YEAR,Numerator Count,Limited English Proficiency,
20162017,010,Adair County High School,FIVE YEAR,Numerator Count,Male,82
20162017,010,Adair County High School,FIVE YEAR,Numerator Count,Migrant,***
20162017,010,Adair County High School,FIVE YEAR,Numerator Count,Native Hawaiian or Other Pacific Islander,
20162017,010,Adair County High School,FIVE YEAR,Numerator Count,Two or more races,***
20162017,010,Adair County High School,FIVE YEAR,Numerator Count,White (Non-Hispanic),155
20162017,010,Adair County High School,FIVE YEAR,Denominator Count,African American,***
20162017,010,Adair County High School,FIVE YEAR,Denominator Count,All Students,165
20162017,010,Adair County High School,FIVE YEAR,Denominator Count,American Indian or Alaska Native,
20162017,010,Adair County High School,FIVE YEAR,Denominator Count,Asian,
20162017,010,Adair County High School,FIVE YEAR,Denominator Count,Disability-With IEP (Total),***
20162017,010,Adair County High School,FIVE YEAR,Denominator Count,Female,83
20162017,010,Adair County High School,FIVE YEAR,Denominator Count,Free/Reduced-Price Meals,97
20162017,010,Adair County High School,FIVE YEAR,Denominator Count,GAP,98
20162017,010,Adair County High School,FIVE YEAR,Denominator Count,Hispanic,***
20162017,010,Adair County High School,FIVE YEAR,Denominator Count,Limited English Proficiency,
20162017,010,Adair County High School,FIVE YEAR,Denominator Count,Male,82
20162017,010,Adair County High School,FIVE YEAR,Denominator Count,Migrant,***
20162017,010,Adair County High School,FIVE YEAR,Denominator Count,Native Hawaiian or Other Pacific Islander,
20162017,010,Adair County High School,FIVE YEAR,Denominator Count,Two or more races,***
20162017,010,Adair County High School,FIVE YEAR,Denominator Count,White (Non-Hispanic),156
20162017,010,Adair County High School,FOUR YEAR,Delivery Target,African American,
20162017,010,Adair County High School,FOUR YEAR,Delivery Target,All Students,95.0
20162017,010,Adair County High School,FOUR YEAR,Delivery Target,American Indian or Alaska Native,
20162017,010,Adair County High School,FOUR YEAR,Delivery Target,Asian,
20162017,010,Adair County High School,FOUR YEAR,Delivery Target,Disability-With IEP (Total),83.6
20162017,010,Adair County High School,FOUR YEAR,Delivery Target,English Learners,
20162017,010,Adair County High School,FOUR YEAR,Delivery Target,Female,94.9
20162017,010,Adair County High School,FOUR YEAR,Delivery Target,Free/Reduced-Price Meals,91.5
20162017,010,Adair County High School,FOUR YEAR,Delivery Target,GAP,91.9
20162017,010,Adair County High School,FOUR YEAR,Delivery Target,Hispanic,
20162017,010,Adair County High School,FOUR YEAR,Delivery Target,Male,95.2
20162017,010,Adair County High School,FOUR YEAR,Delivery Target,Migrant,
20162017,010,Adair County High School,FOUR YEAR,Delivery Target,Native Hawaiian or Other Pacific Islander,
20162017,010,Adair County High School,FOUR YEAR,Delivery Target,Two or more races,
20162017,010,Adair County High School,FOUR YEAR,Delivery Target,White (Non-Hispanic),94.7
20162017,010,Adair County High School,FOUR YEAR,Actual Score,African American,***
20162017,010,Adair County High School,FOUR YEAR,Actual Score,All Students,98.5
20162017,010,Adair County High School,FOUR YEAR,Actual Score,American Indian or Alaska Native,***
20162017,010,Adair County High School,FOUR YEAR,Actual Score,Asian,
20162017,010,Adair County High School,FOUR YEAR,Actual Score,Disability-With IEP (Total),70.0
20162017,010,Adair County High School,FOUR YEAR,Actual Score,English Learners,***
20162017,010,Adair County High School,FOUR YEAR,Actual Score,Female,98.9
20162017,010,Adair County High School,FOUR YEAR,Actual Score,Free/Reduced-Price Meals,98.3
20162017,010,Adair County High School,FOUR YEAR,Actual Score,GAP,97.5
20162017,010,Adair County High School,FOUR YEAR,Actual Score,Hispanic,***
20162017,010,Adair County High School,FOUR YEAR,Actual Score,Male,98.1
20162017,010,Adair County High School,FOUR YEAR,Actual Score,Migrant,***
20162017,010,Adair County High School,FOUR YEAR,Actual Score,Native Hawaiian or Other Pacific Islander,***
20162017,010,Adair County High School,FOUR YEAR,Actual Score,Two or more races,***
20162017,010,Adair County High School,FOUR YEAR,Actual Score,White (Non-Hispanic),98.9
20162017,010,Adair County High School,FOUR YEAR,Met Target,African American,N/A
20162017,010,Adair County High School,FOUR YEAR,Met Target,All Students,Yes
20162017,010,Adair County High School,FOUR YEAR,Met Target,American Indian or Alaska Native,N/A
20162017,010,Adair County High School,FOUR YEAR,Met Target,Asian,N/A
20162017,010,Adair County High School,FOUR YEAR,Met Target,Disability-With IEP (Total),No
20162017,010,Adair County High School,FOUR YEAR,Met Target,English Learners,N/A
20162017,010,Adair County High School,FOUR YEAR,Met Target,Female,Yes
20162017,010,Adair County High School,FOUR YEAR,Met Target,Free/Reduced-Price Meals,Yes
20162017,010,Adair County High School,FOUR YEAR,Met Target,GAP,Yes
20162017,010,Adair County High School,FOUR YEAR,Met Target,Hispanic,N/A
20162017,010,Adair County High School,FOUR YEAR,Met Target,Male,Yes
20162017,010,Adair County High School,FOUR YEAR,Met Target,Migrant,N/A
20162017,010,Adair County High School,FOUR YEAR,Met Target,Native Hawaiian or Other Pacific Islander,N/A
20162017,010,Adair County High School,FOUR YEAR,Met Target,Two or more races,N/A
20162017,010,Adair County High School,FOUR YEAR,Met Target,White (Non-Hispanic),Yes
20162017,010,Adair County High School,FOUR YEAR,Numerator Count,African American,***
20162017,010,Adair County High School,FOUR YEAR,Numerator Count,All Students,195
20162017,010,Adair County High School,FOUR YEAR,Numerator Count,American Indian or Alaska Native,***
20162017,010,Adair County High School,FOUR YEAR,Numerator Count,Asian,
20162017,010,Adair County High School,FOUR YEAR,Numerator Count,Disability-With IEP (Total),7
20162017,010,Adair County High School,FOUR YEAR,Numerator Count,Female,89
20162017,010,Adair County High School,FOUR YEAR,Numerator Count,Free/Reduced-Price Meals,115
20162017,010,Adair County High School,FOUR YEAR,Numerator Count,GAP,119
20162017,010,Adair County High School,FOUR YEAR,Numerator Count,Hispanic,***
20162017,010,Adair County High School,FOUR YEAR,Numerator Count,Limited English Proficiency,***
20162017,010,Adair County High School,FOUR YEAR,Numerator Count,Male,106
20162017,010,Adair County High School,FOUR YEAR,Numerator Count,Migrant,***
20162017,010,Adair County High School,FOUR YEAR,Numerator Count,Native Hawaiian or Other Pacific Islander,***
20162017,010,Adair County High School,FOUR YEAR,Numerator Count,Two or more races,***
20162017,010,Adair County High School,FOUR YEAR,Numerator Count,White (Non-Hispanic),180
20162017,010,Adair County High School,FOUR YEAR,Denominator Count,African American,***
20162017,010,Adair County High School,FOUR YEAR,Denominator Count,All Students,198
20162017,010,Adair County High School,FOUR YEAR,Denominator Count,American Indian or Alaska Native,***
20162017,010,Adair County High School,FOUR YEAR,Denominator Count,Asian,
20162017,010,Adair County High School,FOUR YEAR,Denominator Count,Disability-With IEP (Total),10
