Location,TimeFrame,CHILDCARE_PROV_CNT
Adair,2007,11
Adair,2008,11
Adair,2009,10
Adair,2010,7
Adair,2012,6
Adair,2014,6
Adair,2015,6
Adair,2016,6
Adair,2017,6
Adair,2018,6
Allen,2007,8
Allen,2008,7
Allen,2009,6
Allen,2010,5
Allen,2012,6
Allen,2014,5
Allen,2015,6
Allen,2016,5
Allen,2017,5
Allen,2018,3
Anderson,2007,16
Anderson,2008,16
Anderson,2009,17
Anderson,2010,16
Anderson,2012,16
Anderson,2014,13
Anderson,2015,13
Anderson,2016,13
Anderson,2017,11
Anderson,2018,13
Ballard,2007,4
Ballard,2008,4
Ballard,2009,4
Ballard,2010,4
Ballard,2012,4
Ballard,2014,3
Ballard,2015,3
Ballard,2016,3
Ballard,2017,3
Ballard,2018,3
Barren,2007,24
Barren,2008,24
Barren,2009,24
Barren,2010,27
Barren,2012,24
Barren,2014,19
Barren,2015,15
Barren,2016,15
Barren,2017,15
Barren,2018,15
Bath,2007,6
Bath,2008,7
Bath,2009,5
Bath,2010,5
Bath,2012,5
Bath,2014,5
Bath,2015,3
Bath,2016,3
Bath,2017,3
Bath,2018,4
Bell,2007,16
Bell,2008,17
Bell,2009,17
Bell,2010,15
Bell,2012,14
Bell,2014,12
Bell,2015,11
Bell,2016,9
Bell,2017,8
Bell,2018,8
Boone,2007,89
Boone,2008,86
Boone,2009,84
Boone,2010,78
Boone,2012,75
Boone,2014,79
Boone,2015,74
Boone,2016,72
Boone,2017,72
Boone,2018,69
Bourbon,2007,12
Bourbon,2008,11
Bourbon,2009,12
Bourbon,2010,14
Bourbon,2012,17
Bourbon,2014,14
Bourbon,2015,14
Bourbon,2016,13
Bourbon,2017,13
Bourbon,2018,11
Boyd,2007,27
Boyd,2008,26
Boyd,2009,32
Boyd,2010,26
Boyd,2012,22
Boyd,2014,22
Boyd,2015,19
Boyd,2016,18
Boyd,2017,18
Boyd,2018,17
Boyle,2007,16
Boyle,2008,16
Boyle,2009,16
Boyle,2010,17
Boyle,2012,16
Boyle,2014,17
Boyle,2015,17
Boyle,2016,16
Boyle,2017,15
Boyle,2018,15
Bracken,2007,8
Bracken,2008,5
Bracken,2009,5
Bracken,2010,4
Bracken,2012,4
Bracken,2014,3
Bracken,2015,3
Bracken,2016,4
Bracken,2017,4
Bracken,2018,4
Breathitt,2007,4
Breathitt,2008,3
Breathitt,2009,3
Breathitt,2010,3
Breathitt,2012,3
Breathitt,2014,2
Breathitt,2015,3
Breathitt,2016,3
Breathitt,2017,3
Breathitt,2018,3
Breckinridge,2007,14
Breckinridge,2008,14
Breckinridge,2009,12
Breckinridge,2010,11
Breckinridge,2012,8
Breckinridge,2014,7
Breckinridge,2015,6
Breckinridge,2016,7
Breckinridge,2017,7
Breckinridge,2018,8
Bullitt,2007,48
Bullitt,2008,47
Bullitt,2009,47
Bullitt,2010,46
Bullitt,2012,45
Bullitt,2014,43
Bullitt,2015,42
Bullitt,2016,43
Bullitt,2017,43
Bullitt,2018,39
Butler,2007,7
Butler,2008,7
Butler,2009,6
Butler,2010,7
Butler,2012,5
Butler,2014,5
Butler,2015,5
Butler,2016,5
Butler,2017,7
Butler,2018,8
Caldwell,2007,7
Caldwell,2008,7
Caldwell,2009,5
Caldwell,2010,7
Caldwell,2012,6
Caldwell,2014,6
Caldwell,2015,6
Caldwell,2016,6
Caldwell,2017,6
Caldwell,2018,5
Calloway,2007,32
Calloway,2008,30
Calloway,2009,28
Calloway,2010,28
Calloway,2012,24
Calloway,2014,20
Calloway,2015,18
Calloway,2016,17
Calloway,2017,18
Calloway,2018,15
Campbell,2007,73
Campbell,2008,78
Campbell,2009,65
Campbell,2010,69
Campbell,2012,65
Campbell,2014,56
Campbell,2015,52
Campbell,2016,56
Campbell,2017,61
Campbell,2018,58
Carlisle,2007,1
Carlisle,2008,1
Carlisle,2009,2
Carlisle,2010,2
Carlisle,2012,2
Carlisle,2014,2
Carlisle,2015,2
Carlisle,2016,1
Carlisle,2017,1
Carlisle,2018,1
Carroll,2007,2
Carroll,2008,3
Carroll,2009,3
Carroll,2010,3
Carroll,2012,1
Carroll,2014,3
Carroll,2015,4
Carroll,2016,4
Carroll,2017,6
Carroll,2018,6
Carter,2007,13
Carter,2008,14
Carter,2009,12
Carter,2010,10
Carter,2012,7
Carter,2014,4
Carter,2015,4
Carter,2016,6
Carter,2017,6
Carter,2018,6
Casey,2007,4
Casey,2008,6
Casey,2009,6
Casey,2010,7
Casey,2012,7
Casey,2014,5
Casey,2015,4
Casey,2016,5
Casey,2017,7
Casey,2018,7
Christian,2007,67
Christian,2008,63
Christian,2009,66
Christian,2010,66
Christian,2012,69
Christian,2014,60
Christian,2015,50
Christian,2016,47
Christian,2017,42
Christian,2018,39
Clark,2007,36
Clark,2008,35
Clark,2009,35
Clark,2010,31
Clark,2012,27
Clark,2014,26
Clark,2015,22
Clark,2016,22
Clark,2017,23
Clark,2018,23
Clay,2007,3
Clay,2008,5
Clay,2009,5
Clay,2010,6
Clay,2012,5
Clay,2014,5
Clay,2015,5
Clay,2016,6
Clay,2017,6
Clay,2018,6
Clinton,2007,7
Clinton,2008,7
Clinton,2009,8
Clinton,2010,8
Clinton,2012,9
Clinton,2014,6
Clinton,2015,5
Clinton,2016,5
Clinton,2017,6
Clinton,2018,6
Crittenden,2007,4
Crittenden,2008,3
