Location,TimeFrame,MEDICAID_CNT
Adair,2014,2812
Adair,2015,2776
Adair,2016,2883
Adair,2017,2880
Adair,2018,2751
Adair,2019,2753
Allen,2014,2799
Allen,2015,2760
Allen,2016,3020
Allen,2017,2859
Allen,2018,2680
Allen,2019,2607
Anderson,2014,2372
Anderson,2015,2299
Anderson,2016,2485
Anderson,2017,2457
Anderson,2018,2266
Anderson,2019,2201
Ballard,2014,1027
Ballard,2015,994
Ballard,2016,1016
Ballard,2017,1033
Ballard,2018,966
Ballard,2019,908
Barren,2014,6162
Barren,2015,5882
Barren,2016,6465
Barren,2017,6368
Barren,2018,5951
Barren,2019,5889
Bath,2014,2373
Bath,2015,2199
Bath,2016,2358
Bath,2017,2291
Bath,2018,2178
Bath,2019,2075
Bell,2014,5492
Bell,2015,5333
Bell,2016,5650
Bell,2017,5464
Bell,2018,4777
Bell,2019,4693
Boone,2014,11006
Boone,2015,10930
Boone,2016,12451
Boone,2017,12501
Boone,2018,11585
Boone,2019,11145
Bourbon,2014,2880
Bourbon,2015,2754
Bourbon,2016,3024
Bourbon,2017,2933
Bourbon,2018,2716
Bourbon,2019,2607
Boyd,2014,6533
Boyd,2015,6552
Boyd,2016,6946
Boyd,2017,7068
Boyd,2018,6258
Boyd,2019,5971
Boyle,2014,3632
Boyle,2015,3468
Boyle,2016,3804
Boyle,2017,3700
Boyle,2018,3456
Boyle,2019,3355
Bracken,2014,1342
Bracken,2015,1242
Bracken,2016,1306
Bracken,2017,1202
Bracken,2018,1132
Bracken,2019,1108
Breathitt,2014,2806
Breathitt,2015,2665
Breathitt,2016,2552
Breathitt,2017,2628
Breathitt,2018,2360
Breathitt,2019,2329
Breckinridge,2014,2788
Breckinridge,2015,2783
Breckinridge,2016,3024
Breckinridge,2017,3013
Breckinridge,2018,2748
Breckinridge,2019,2539
Bullitt,2014,7949
Bullitt,2015,7653
Bullitt,2016,8126
Bullitt,2017,8070
Bullitt,2018,7486
Bullitt,2019,7236
Butler,2014,1986
Butler,2015,1883
Butler,2016,2107
Butler,2017,2070
Butler,2018,1897
Butler,2019,1851
Caldwell,2014,1708
Caldwell,2015,1622
Caldwell,2016,1723
Caldwell,2017,1737
Caldwell,2018,1594
Caldwell,2019,1576
Calloway,2014,3593
Calloway,2015,3451
Calloway,2016,3772
Calloway,2017,3842
Calloway,2018,3470
Calloway,2019,3294
Campbell,2014,8499
Campbell,2015,8162
Campbell,2016,8826
Campbell,2017,8526
Campbell,2018,7627
Campbell,2019,7228
Carlisle,2014,710
Carlisle,2015,651
Carlisle,2016,683
Carlisle,2017,684
Carlisle,2018,643
Carlisle,2019,651
Carroll,2014,2046
Carroll,2015,1939
Carroll,2016,2247
Carroll,2017,2170
Carroll,2018,1887
Carroll,2019,1816
Carter,2014,4486
Carter,2015,4270
Carter,2016,4506
Carter,2017,4424
Carter,2018,4042
Carter,2019,3833
Casey,2014,2585
Casey,2015,2496
Casey,2016,2695
Casey,2017,2604
Casey,2018,2474
Casey,2019,2431
Christian,2014,9043
Christian,2015,8908
Christian,2016,9937
Christian,2017,10046
Christian,2018,9093
Christian,2019,8779
Clark,2014,4861
Clark,2015,4588
Clark,2016,5042
Clark,2017,4954
Clark,2018,4657
Clark,2019,4428
Clay,2014,4281
Clay,2015,4205
Clay,2016,4538
Clay,2017,4277
Clay,2018,3787
Clay,2019,3688
Clinton,2014,1779
Clinton,2015,1767
Clinton,2016,1889
Clinton,2017,1889
Clinton,2018,1705
Clinton,2019,1762
Crittenden,2014,1069
Crittenden,2015,1046
Crittenden,2016,1115
Crittenden,2017,1101
Crittenden,2018,1067
Crittenden,2019,982
Cumberland,2014,1133
Cumberland,2015,1068
Cumberland,2016,1153
Cumberland,2017,1081
Cumberland,2018,958
Cumberland,2019,963
Daviess,2014,12413
Daviess,2015,12622
Daviess,2016,14073
Daviess,2017,13881
Daviess,2018,12161
Daviess,2019,11852
Edmonson,2014,1682
Edmonson,2015,1584
Edmonson,2016,1708
Edmonson,2017,1693
Edmonson,2018,1555
Edmonson,2019,1458
Elliott,2014,1181
Elliott,2015,1109
Elliott,2016,1170
Elliott,2017,1215
Elliott,2018,1111
Elliott,2019,1084
Estill,2014,2406
Estill,2015,2294
Estill,2016,2363
Estill,2017,2278
Estill,2018,2155
Estill,2019,2000
Fayette,2014,31014
Fayette,2015,30826
Fayette,2016,34284
Fayette,2017,34120
Fayette,2018,30619
Fayette,2019,29718
Fleming,2014,2130
Fleming,2015,2053
Fleming,2016,2229
Fleming,2017,2131
Fleming,2018,2044
Fleming,2019,1993
Floyd,2014,7438
Floyd,2015,7193
Floyd,2016,7535
Floyd,2017,7183
Floyd,2018,6400
Floyd,2019,6337
Franklin,2014,5880
Franklin,2015,5725
Franklin,2016,6686
Franklin,2017,7076
Franklin,2018,7021
Franklin,2019,6756
Fulton,2014,1182
Fulton,2015,1104
Fulton,2016,1178
Fulton,2017,1171
Fulton,2018,1131
Fulton,2019,1025
Gallatin,2014,1457
Gallatin,2015,1275
Gallatin,2016,1388
Gallatin,2017,1354
Gallatin,2018,1241
Gallatin,2019,1122
Garrard,2014,2331
Garrard,2015,2280
Garrard,2016,2472
Garrard,2017,2541
Garrard,2018,2350
Garrard,2019,2202
