Location,TimeFrame,CHILD_SUPPORT_COLLECT_PCT
Adair,2000,0.47
Adair,2001,0.59
Adair,2002,0.65
Adair,2003,0.64
Adair,2004,0.67
Adair,2005,0.67
Adair,2006,0.69
Adair,2007,0.67
Adair,2008,0.71
Adair,2009,0.68
Adair,2010,0.69
Adair,2011,0.69
Adair,2012,0.67
Adair,2013,0.71
Adair,2014,0.73
Adair,2015,0.75
Adair,2016,0.73
Adair,2017,0.73
Adair,2018,0.74
Adair,2019,0.73
Allen,2000,0.62
Allen,2001,0.66
Allen,2002,0.67
Allen,2003,0.68
Allen,2004,0.68
Allen,2005,0.68
Allen,2006,0.67
Allen,2007,0.68
Allen,2008,0.69
Allen,2009,0.69
Allen,2010,0.71
Allen,2011,0.72
Allen,2012,0.73
Allen,2013,0.73
Allen,2014,0.74
Allen,2015,0.75
Allen,2016,0.75
Allen,2017,0.73
Allen,2018,0.7
Allen,2019,0.68
Anderson,2000,0.61
Anderson,2001,0.62
Anderson,2002,0.59
Anderson,2003,0.64
Anderson,2004,0.68
Anderson,2005,0.68
Anderson,2006,0.68
Anderson,2007,0.67
Anderson,2008,0.69
Anderson,2009,0.67
Anderson,2010,0.7
Anderson,2011,0.68
Anderson,2012,0.68
Anderson,2013,0.65
Anderson,2014,0.62
Anderson,2015,0.63
Anderson,2016,0.63
Anderson,2017,0.61
Anderson,2018,0.59
Anderson,2019,0.58
Ballard,2000,0.56
Ballard,2001,0.57
Ballard,2002,0.54
Ballard,2003,0.55
Ballard,2004,0.56
Ballard,2005,0.53
Ballard,2006,0.59
Ballard,2007,0.59
Ballard,2008,0.6
Ballard,2009,0.65
Ballard,2010,0.64
Ballard,2011,0.66
Ballard,2012,0.62
Ballard,2013,0.63
Ballard,2014,0.65
Ballard,2015,0.64
Ballard,2016,0.63
Ballard,2017,0.66
Ballard,2018,0.62
Ballard,2019,0.62
Barren,2000,0.63
Barren,2001,0.62
Barren,2002,0.59
Barren,2003,0.58
Barren,2004,0.57
Barren,2005,0.57
Barren,2006,0.59
Barren,2007,0.59
Barren,2008,0.6
Barren,2009,0.62
Barren,2010,0.64
Barren,2011,0.63
Barren,2012,0.64
Barren,2013,0.63
Barren,2014,0.62
Barren,2015,0.62
Barren,2016,0.61
Barren,2017,0.6
Barren,2018,0.57
Barren,2019,0.57
Bath,2000,0.49
Bath,2001,0.5
Bath,2002,0.52
Bath,2003,0.57
