Location,TimeFrame,COLLEGE_GRAD_PCT
Adair,2011-2012,0.54
Adair,2012-2013,0.36
Adair,2013-2014,0.5
Adair,2014-2015,0.38
Adair,2015-2016,0.62
Adair,2016-2017,0.58
Adair,2017-2018,0.63
Allen,2011-2012,0.52
Allen,2012-2013,0.42
Allen,2013-2014,0.49
Allen,2014-2015,0.55
Allen,2015-2016,0.39
Allen,2016-2017,0.45
Allen,2017-2018,0.63
Anderson,2011-2012,0.55
Anderson,2012-2013,0.48
Anderson,2013-2014,0.5
Anderson,2014-2015,0.47
Anderson,2015-2016,0.48
Anderson,2016-2017,0.46
Anderson,2017-2018,0.52
Ballard,2011-2012,0.6
Ballard,2012-2013,0.44
Ballard,2013-2014,0.38
Ballard,2014-2015,0.42
Ballard,2015-2016,0.4
Ballard,2016-2017,0.54
Ballard,2017-2018,0.45
Barren,2011-2012,0.45
Barren,2012-2013,0.49
Barren,2013-2014,0.53
Barren,2014-2015,0.41
Barren,2015-2016,0.5
Barren,2016-2017,0.49
Barren,2017-2018,0.56
Bath,2011-2012,0.3
Bath,2012-2013,0.41
Bath,2013-2014,0.44
Bath,2014-2015,0.34
Bath,2015-2016,0.3
Bath,2016-2017,0.27
Bath,2017-2018,0.46
Bell,2011-2012,0.36
Bell,2012-2013,0.35
Bell,2013-2014,0.5
Bell,2014-2015,0.33
Bell,2015-2016,0.35
Bell,2016-2017,0.58
Bell,2017-2018,0.42
Boone,2011-2012,0.48
Boone,2012-2013,0.49
Boone,2013-2014,0.51
Boone,2014-2015,0.51
Boone,2015-2016,0.56
Boone,2016-2017,0.49
Boone,2017-2018,0.55
Bourbon,2011-2012,0.41
Bourbon,2012-2013,0.54
Bourbon,2013-2014,0.38
Bourbon,2014-2015,0.47
Bourbon,2015-2016,0.56
Bourbon,2016-2017,0.42
Bourbon,2017-2018,0.58
Boyd,2011-2012,0.46
Boyd,2012-2013,0.49
Boyd,2013-2014,0.4
Boyd,2014-2015,0.51
Boyd,2015-2016,0.61
Boyd,2016-2017,0.62
Boyd,2017-2018,0.55
Boyle,2011-2012,0.67
Boyle,2012-2013,0.45
Boyle,2013-2014,0.58
Boyle,2014-2015,0.46
Boyle,2015-2016,0.51
Boyle,2016-2017,0.45
Boyle,2017-2018,0.58
Bracken,2011-2012,0.23
Bracken,2012-2013,0.53
Bracken,2013-2014,0.65
Bracken,2014-2015,0.42
Bracken,2015-2016,0.68
Bracken,2016-2017,0.43
Bracken,2017-2018,0.58
Breathitt,2011-2012,0.5
Breathitt,2012-2013,0.56
Breathitt,2013-2014,0.36
Breathitt,2014-2015,0.33
Breathitt,2015-2016,0.5
Breathitt,2016-2017,0.4
Breathitt,2017-2018,0.62
Breckinridge,2011-2012,0.6
Breckinridge,2012-2013,0.61
Breckinridge,2013-2014,0.41
Breckinridge,2014-2015,0.53
Breckinridge,2015-2016,0.53
Breckinridge,2016-2017,0.54
Breckinridge,2017-2018,0.55
Bullitt,2011-2012,0.43
Bullitt,2012-2013,0.56
Bullitt,2013-2014,0.4
Bullitt,2014-2015,0.5
Bullitt,2015-2016,0.52
Bullitt,2016-2017,0.49
Bullitt,2017-2018,0.56
Butler,2011-2012,0.5
Butler,2012-2013,0.38
Butler,2013-2014,0.56
Butler,2014-2015,0.53
Butler,2015-2016,0.69
Butler,2016-2017,0.5
Butler,2017-2018,0.38
Caldwell,2011-2012,0.4
Caldwell,2012-2013,0.6
Caldwell,2013-2014,0.63
Caldwell,2014-2015,0.36
Caldwell,2015-2016,0.59
Caldwell,2016-2017,0.48
Caldwell,2017-2018,0.37
Calloway,2011-2012,0.5
Calloway,2012-2013,0.57
Calloway,2013-2014,0.49
Calloway,2014-2015,0.53
Calloway,2015-2016,0.49
Calloway,2016-2017,0.37
Calloway,2017-2018,0.53
Campbell,2011-2012,0.54
Campbell,2012-2013,0.53
Campbell,2013-2014,0.54
Campbell,2014-2015,0.53
Campbell,2015-2016,0.56
Campbell,2016-2017,0.52
Campbell,2017-2018,0.54
Carlisle,2011-2012,0.67
Carlisle,2012-2013,0.67
Carlisle,2013-2014,0.7
Carlisle,2014-2015,0.4
Carlisle,2015-2016,0.27
Carlisle,2016-2017,0.6
Carlisle,2017-2018,0.43
Carroll,2011-2012,0.45
Carroll,2012-2013,0.55
Carroll,2013-2014,0.4
Carroll,2014-2015,0.41
Carroll,2015-2016,0.43
Carroll,2016-2017,0.41
Carroll,2017-2018,0.48
Carter,2011-2012,0.38
Carter,2012-2013,0.37
Carter,2013-2014,0.45
Carter,2014-2015,0.33
Carter,2015-2016,0.45
Carter,2016-2017,0.52
Carter,2017-2018,0.51
Casey,2011-2012,0.5
Casey,2012-2013,0.43
Casey,2013-2014,0.36
Casey,2014-2015,0.27
Casey,2015-2016,0.33
Casey,2016-2017,0.47
Casey,2017-2018,0.29
Christian,2011-2012,0.52
Christian,2012-2013,0.54
Christian,2013-2014,0.55
Christian,2014-2015,0.55
Christian,2015-2016,0.66
Christian,2016-2017,0.57
Christian,2017-2018,0.56
Clark,2011-2012,0.51
Clark,2012-2013,0.44
Clark,2013-2014,0.56
Clark,2014-2015,0.59
Clark,2015-2016,0.52
Clark,2016-2017,0.55
Clark,2017-2018,0.65
Clay,2011-2012,0.52
Clay,2012-2013,0.39
Clay,2013-2014,0.34
Clay,2014-2015,0.44
Clay,2015-2016,0.38
Clay,2016-2017,0.48
Clay,2017-2018,0.39
Clinton,2011-2012,0.38
Clinton,2012-2013,0.5
Clinton,2013-2014,0.4
Clinton,2014-2015,0.55
Clinton,2015-2016,0.33
Clinton,2016-2017,0.45
Clinton,2017-2018,0.54
Crittenden,2011-2012,0.38
Crittenden,2012-2013,0.64
Crittenden,2013-2014,0.45
Crittenden,2014-2015,0.74
Crittenden,2015-2016,0.57
Crittenden,2016-2017,0.6
Crittenden,2017-2018,0.76
Cumberland,2011-2012,0.35
Cumberland,2012-2013,0.43
Cumberland,2013-2014,0.36
Cumberland,2014-2015,0.6
Cumberland,2015-2016,0.47
Cumberland,2016-2017,0.5
Cumberland,2017-2018,0.47
Daviess,2011-2012,0.58
Daviess,2012-2013,0.59
Daviess,2013-2014,0.57
Daviess,2014-2015,0.61
Daviess,2015-2016,0.63
Daviess,2016-2017,0.58
Daviess,2017-2018,0.66
Edmonson,2011-2012,0.44
Edmonson,2012-2013,0.45
Edmonson,2013-2014,0.41
Edmonson,2014-2015,0.5
Edmonson,2015-2016,0.56
Edmonson,2016-2017,0.5
Edmonson,2017-2018,0.44
