Location,TimeFrame,CHILD_DEEP_POV_PCT
Adair,2005-2009,0.14
Adair,2006-2010,0.1
Adair,2007-2011,0.07
Adair,2008-2012,0.08
Adair,2009-2013,0.06
Adair,2010-2014,0.08
Adair,2011-2015,0.11
Adair,2012-2016,0.12
Adair,2013-2017,0.1
Adair,2014-2018,0.1
Allen,2005-2009,0.12
Allen,2006-2010,0.15
Allen,2007-2011,0.16
Allen,2008-2012,0.18
Allen,2009-2013,0.13
Allen,2010-2014,0.1
Allen,2011-2015,S
Allen,2012-2016,0.07
Allen,2013-2017,0.09
Allen,2014-2018,0.12
Anderson,2005-2009,S
Anderson,2006-2010,S
Anderson,2007-2011,0.09
Anderson,2008-2012,0.08
Anderson,2009-2013,0.08
Anderson,2010-2014,0.1
Anderson,2011-2015,S
Anderson,2012-2016,S
Anderson,2013-2017,0.08
Anderson,2014-2018,0.09
Ballard,2005-2009,0.09
Ballard,2006-2010,S
Ballard,2007-2011,0.12
Ballard,2008-2012,S
Ballard,2009-2013,S
Ballard,2010-2014,0.07
Ballard,2011-2015,0.09
Ballard,2012-2016,0.08
Ballard,2013-2017,0.11
Ballard,2014-2018,0.13
Barren,2005-2009,0.18
Barren,2006-2010,0.15
Barren,2007-2011,0.15
Barren,2008-2012,0.13
Barren,2009-2013,0.13
Barren,2010-2014,0.12
Barren,2011-2015,0.13
Barren,2012-2016,0.12
Barren,2013-2017,0.18
Barren,2014-2018,0.15
Bath,2005-2009,0.21
Bath,2006-2010,0.25
Bath,2007-2011,0.28
Bath,2008-2012,0.23
Bath,2009-2013,0.2
Bath,2010-2014,0.19
Bath,2011-2015,0.15
Bath,2012-2016,0.12
Bath,2013-2017,0.14
Bath,2014-2018,0.1
Bell,2005-2009,0.24
Bell,2006-2010,0.2
Bell,2007-2011,0.21
Bell,2008-2012,0.22
Bell,2009-2013,0.22
Bell,2010-2014,0.23
Bell,2011-2015,0.3
Bell,2012-2016,0.28
Bell,2013-2017,0.3
Bell,2014-2018,0.24
Boone,2005-2009,0.04
Boone,2006-2010,0.04
Boone,2007-2011,0.03
Boone,2008-2012,0.03
Boone,2009-2013,0.04
Boone,2010-2014,0.03
Boone,2011-2015,0.03
Boone,2012-2016,0.03
Boone,2013-2017,0.04
Boone,2014-2018,0.04
Bourbon,2005-2009,0.13
Bourbon,2006-2010,0.08
Bourbon,2007-2011,0.08
Bourbon,2008-2012,0.07
Bourbon,2009-2013,0.07
Bourbon,2010-2014,0.07
Bourbon,2011-2015,0.08
Bourbon,2012-2016,0.13
Bourbon,2013-2017,0.11
Bourbon,2014-2018,S
Boyd,2005-2009,0.16
Boyd,2006-2010,0.14
Boyd,2007-2011,0.15
Boyd,2008-2012,0.15
Boyd,2009-2013,0.15
Boyd,2010-2014,0.13
Boyd,2011-2015,0.16
Boyd,2012-2016,0.12
Boyd,2013-2017,0.14
Boyd,2014-2018,0.15
Boyle,2005-2009,0.09
Boyle,2006-2010,0.1
Boyle,2007-2011,0.1
Boyle,2008-2012,0.11
Boyle,2009-2013,0.12
Boyle,2010-2014,0.08
Boyle,2011-2015,0.07
Boyle,2012-2016,0.06
Boyle,2013-2017,0.04
Boyle,2014-2018,0.03
Bracken,2005-2009,0.12
Bracken,2006-2010,0.1
Bracken,2007-2011,0.09
Bracken,2008-2012,0.12
Bracken,2009-2013,0.09
Bracken,2010-2014,0.07
Bracken,2011-2015,0.1
Bracken,2012-2016,0.1
Bracken,2013-2017,0.11
Bracken,2014-2018,0.1
Breathitt,2005-2009,0.21
Breathitt,2006-2010,0.22
Breathitt,2007-2011,0.22
Breathitt,2008-2012,0.18
Breathitt,2009-2013,0.14
Breathitt,2010-2014,0.14
