Location,TimeFrame,FOSTER_KIDS_PCT
Adair,2003,0.79
Adair,2006,0.76
Adair,2007,0.84
Adair,2008,0.81
Adair,2009,0.94
Adair,2010,0.96
Adair,2011,0.89
Adair,2012,0.92
Adair,2013,0.57
Adair,2014,0.79
Adair,2015,0.83
Adair,2016,0.84
Adair,2017,0.77
Adair,2018,0.64
Allen,2003,0.7
Allen,2006,0.88
Allen,2007,0.76
Allen,2008,0.8
Allen,2009,0.94
Allen,2010,0.96
Allen,2011,0.93
Allen,2012,0.88
Allen,2013,0.91
Allen,2014,0.91
Allen,2015,0.83
Allen,2016,0.83
Allen,2017,0.71
Allen,2018,0.86
Anderson,2003,0.4
Anderson,2006,0.28
Anderson,2007,0.26
Anderson,2008,0.35
Anderson,2009,0.46
Anderson,2010,0.61
Anderson,2011,0.48
Anderson,2012,0.68
Anderson,2013,0.63
Anderson,2014,0.68
Anderson,2015,0.69
Anderson,2016,0.63
Anderson,2017,0.65
Anderson,2018,0.46
Ballard,2003,0.5
Ballard,2006,0.6
Ballard,2007,0.4
Ballard,2008,0.53
Ballard,2009,0.64
Ballard,2010,0.67
Ballard,2011,0.67
Ballard,2012,0.73
Ballard,2013,0.58
Ballard,2014,S
Ballard,2015,S
Ballard,2016,0.62
Ballard,2017,0.58
Ballard,2018,0.32
Barren,2003,0.81
Barren,2006,0.8
Barren,2007,0.78
Barren,2008,0.74
Barren,2009,0.89
Barren,2010,0.9
Barren,2011,0.88
Barren,2012,0.8
Barren,2013,0.82
Barren,2014,0.79
Barren,2015,0.82
Barren,2016,0.8
Barren,2017,0.75
Barren,2018,0.67
Bath,2003,0.57
Bath,2006,0.67
Bath,2007,0.77
Bath,2008,0.65
Bath,2009,0.82
Bath,2010,0.97
Bath,2011,0.75
Bath,2012,0.77
Bath,2013,0.85
Bath,2014,0.67
Bath,2015,0.74
Bath,2016,0.76
Bath,2017,0.76
Bath,2018,0.48
Bell,2003,0.46
Bell,2006,0.5
Bell,2007,0.47
Bell,2008,0.53
Bell,2009,0.68
Bell,2010,0.63
Bell,2011,0.59
Bell,2012,0.58
Bell,2013,0.75
Bell,2014,0.81
Bell,2015,0.76
Bell,2016,0.87
Bell,2017,0.71
Bell,2018,0.74
Boone,2003,0.44
Boone,2006,0.59
Boone,2007,0.46
Boone,2008,0.61
Boone,2009,0.62
Boone,2010,0.71
Boone,2011,0.68
Boone,2012,0.58
Boone,2013,0.55
Boone,2014,0.7
Boone,2015,0.6
Boone,2016,0.65
Boone,2017,0.64
Boone,2018,0.71
Bourbon,2003,0.58
Bourbon,2006,0.41
Bourbon,2007,0.46
Bourbon,2008,0.42
Bourbon,2009,0.59
Bourbon,2010,0.73
Bourbon,2011,0.52
Bourbon,2012,0.4
Bourbon,2013,0.6
Bourbon,2014,0.38
Bourbon,2015,0.66
Bourbon,2016,0.63
Bourbon,2017,0.64
Bourbon,2018,0.31
Boyd,2003,0.72
Boyd,2006,0.7
Boyd,2007,0.69
Boyd,2008,0.67
Boyd,2009,0.62
Boyd,2010,0.71
Boyd,2011,0.71
Boyd,2012,0.69
Boyd,2013,0.74
Boyd,2014,0.81
Boyd,2015,0.83
Boyd,2016,0.76
Boyd,2017,0.68
Boyd,2018,0.57
Boyle,2003,0.42
Boyle,2006,0.46
Boyle,2007,0.37
Boyle,2008,0.58
Boyle,2009,0.77
Boyle,2010,0.75
Boyle,2011,0.7
Boyle,2012,0.69
Boyle,2013,0.7
Boyle,2014,0.79
Boyle,2015,0.8
Boyle,2016,0.78
Boyle,2017,0.71
Boyle,2018,0.71
Bracken,2003,0.9
Bracken,2006,0.88
Bracken,2007,0.82
Bracken,2008,0.91
Bracken,2009,0.83
Bracken,2010,0.75
Bracken,2011,0.92
Bracken,2012,0.93
Bracken,2013,0.82
Bracken,2014,0.94
Bracken,2015,0.94
Bracken,2016,0.82
Bracken,2017,0.81
Bracken,2018,0.39
Breathitt,2003,0.81
Breathitt,2006,0.85
Breathitt,2007,0.71
Breathitt,2008,0.63
Breathitt,2009,0.89
Breathitt,2010,0.96
Breathitt,2011,0.89
Breathitt,2012,0.9
Breathitt,2013,0.87
Breathitt,2014,0.87
Breathitt,2015,0.84
