Location,TimeFrame,MEDIAN_HOUSEHOLD_INCOME
Adair,2011,30147
Allen,2011,35614
Anderson,2011,51817
Ballard,2011,40790
Barren,2011,36298
Bath,2011,29857
Bell,2011,24940
Boone,2011,64055
Bourbon,2011,40350
Boyd,2011,38783
Boyle,2011,39663
Bracken,2011,41974
Breathitt,2011,26829
Breckinridge,2011,38028
Bullitt,2011,52033
Butler,2011,32483
Caldwell,2011,36650
Calloway,2011,39599
Campbell,2011,53501
Carlisle,2011,38075
Carroll,2011,40685
Carter,2011,35471
Casey,2011,28034
Christian,2011,35779
Clark,2011,44494
Clay,2011,22289
Clinton,2011,27095
Crittenden,2011,33570
Cumberland,2011,27570
Daviess,2011,44379
Edmonson,2011,36321
Elliott,2011,29339
Estill,2011,28961
Fayette,2011,47211
Fleming,2011,34736
Floyd,2011,28459
Franklin,2011,44241
Fulton,2011,28340
Gallatin,2011,41084
Garrard,2011,40292
Grant,2011,44158
Graves,2011,35690
Grayson,2011,32793
Green,2011,31189
Greenup,2011,41676
Hancock,2011,52049
Hardin,2011,47423
Harlan,2011,28721
Harrison,2011,39160
Hart,2011,31677
Henderson,2011,41244
Henry,2011,42614
Hickman,2011,38446
Hopkins,2011,39733
Jackson,2011,26344
Jefferson,2011,45407
Jessamine,2011,47280
Johnson,2011,35068
Kenton,2011,50150
Knott,2011,29791
Knox,2011,25536
Larue,2011,39174
Laurel,2011,35147
Lawrence,2011,32275
Lee,2011,24770
Leslie,2011,29645
Letcher,2011,31146
Lewis,2011,28740
Lincoln,2011,35530
Livingston,2011,38724
Logan,2011,39304
Lyon,2011,40006
McCracken,2011,44115
McCreary,2011,24640
McLean,2011,38984
Madison,2011,40034
Magoffin,2011,28004
Marion,2011,36168
Marshall,2011,45163
Martin,2011,28880
Mason,2011,39837
Meade,2011,48485
Menifee,2011,28773
Mercer,2011,40502
Metcalfe,2011,29852
Monroe,2011,27480
Montgomery,2011,40267
Morgan,2011,29078
Muhlenberg,2011,35316
Nelson,2011,42271
Nicholas,2011,34886
Ohio,2011,37545
Oldham,2011,80872
Owen,2011,40909
Owsley,2011,21865
Pendleton,2011,44853
Perry,2011,31623
Pike,2011,33881
Powell,2011,31129
Pulaski,2011,34695
Robertson,2011,35504
Rockcastle,2011,30323
Rowan,2011,34920
Russell,2011,30691
Scott,2011,58164
Shelby,2011,51021
Simpson,2011,40583
Spencer,2011,62347
Taylor,2011,33348
Todd,2011,37325
Trigg,2011,41699
Trimble,2011,43677
Union,2011,42059
Warren,2011,40026
Washington,2011,39023
Wayne,2011,27637
Webster,2011,40454
Whitley,2011,29870
Wolfe,2011,25950
Woodford,2011,54930
Adair,2012,31032
Allen,2012,37770
Anderson,2012,54704
Ballard,2012,41947
Barren,2012,37211
Bath,2012,31964
Bell,2012,25771
Boone,2012,66085
Bourbon,2012,39002
Boyd,2012,40155
Boyle,2012,42058
Bracken,2012,41217
Breathitt,2012,25831
Breckinridge,2012,40530
Bullitt,2012,56377
Butler,2012,37603
Caldwell,2012,36613
Calloway,2012,37478
Campbell,2012,54627
Carlisle,2012,41990
Carroll,2012,40473
Carter,2012,35721
Casey,2012,28734
Christian,2012,37539
Clark,2012,45116
Clay,2012,22834
Clinton,2012,26899
Crittenden,2012,35250
Cumberland,2012,27049
Daviess,2012,44502
Edmonson,2012,36039
Elliott,2012,28893
Estill,2012,29895
Fayette,2012,46452
Fleming,2012,34231
Floyd,2012,31061
Franklin,2012,46946
Fulton,2012,28754
Gallatin,2012,43469
Garrard,2012,42620
Grant,2012,46103
Graves,2012,39280
Grayson,2012,35126
Green,2012,32246
Greenup,2012,43869
Hancock,2012,50095
Hardin,2012,48852
Harlan,2012,27137
Harrison,2012,38249
Hart,2012,31387
Henderson,2012,41745
Henry,2012,45119
Hickman,2012,39376
Hopkins,2012,40076
Jackson,2012,27456
Jefferson,2012,45913
Jessamine,2012,47872
Johnson,2012,35195
Kenton,2012,53500
Knott,2012,29198
Knox,2012,27545
Larue,2012,40232
Laurel,2012,35061
Lawrence,2012,32114
Lee,2012,25020
Leslie,2012,27517
Letcher,2012,32527
Lewis,2012,28759
Lincoln,2012,33640
Livingston,2012,39724
Logan,2012,38962
Lyon,2012,40110
McCracken,2012,42853
McCreary,2012,23810
McLean,2012,39789
Madison,2012,40798
Magoffin,2012,28069
Marion,2012,39028
Marshall,2012,43583
Martin,2012,28836
Mason,2012,36729
Meade,2012,48452
Menifee,2012,28459
Mercer,2012,41129
Metcalfe,2012,29499
Monroe,2012,28516
Montgomery,2012,38900
Morgan,2012,30678
Muhlenberg,2012,38388
Nelson,2012,46235
Nicholas,2012,36514
Ohio,2012,38273
Oldham,2012,77851
Owen,2012,40353
Owsley,2012,22148
Pendleton,2012,46663
Perry,2012,32323
Pike,2012,33736
Powell,2012,31826
Pulaski,2012,32339
Robertson,2012,36770
Rockcastle,2012,30310
Rowan,2012,35483
Russell,2012,28174
Scott,2012,63063
Shelby,2012,56021
Simpson,2012,41961
Spencer,2012,65038
Taylor,2012,34992
Todd,2012,37631
Trigg,2012,42419
Trimble,2012,43903
Union,2012,41801
Warren,2012,42514
Washington,2012,39432
Wayne,2012,28185
Webster,2012,41428
Whitley,2012,29089
Wolfe,2012,25321
Woodford,2012,58205
Adair,2013,31710
Allen,2013,39798
Anderson,2013,52852
Ballard,2013,42712
Barren,2013,38370
Bath,2013,33752
Bell,2013,25761
Boone,2013,65274
Bourbon,2013,40045
Boyd,2013,41443
Boyle,2013,43585
Bracken,2013,43222
Breathitt,2013,26869
Breckinridge,2013,40107
Bullitt,2013,57462
Butler,2013,36670
Caldwell,2013,37317
Calloway,2013,37977
Campbell,2013,53321
Carlisle,2013,38283
Carroll,2013,41792
Carter,2013,34767
Casey,2013,29303
Christian,2013,41333
Clark,2013,45516
Clay,2013,24173
Clinton,2013,27443
Crittenden,2013,37372
Cumberland,2013,30043
Daviess,2013,46908
Edmonson,2013,36324
Elliott,2013,29544
Estill,2013,30388
Fayette,2013,47959
Fleming,2013,35454
Floyd,2013,31229
Franklin,2013,46309
Fulton,2013,28550
Gallatin,2013,44142
Garrard,2013,42853
Grant,2013,43861
Graves,2013,39960
Grayson,2013,32813
Green,2013,32309
Greenup,2013,44581
Hancock,2013,50809
Hardin,2013,48327
Harlan,2013,25460
Harrison,2013,42228
Hart,2013,33588
Henderson,2013,42492
Henry,2013,48245
Hickman,2013,38733
Hopkins,2013,40782
Jackson,2013,28759
Jefferson,2013,47495
Jessamine,2013,52011
Johnson,2013,34593
Kenton,2013,53949
Knott,2013,32294
Knox,2013,26220
Larue,2013,41537
Laurel,2013,35372
Lawrence,2013,33469
Lee,2013,25767
Leslie,2013,29008
Letcher,2013,31799
Lewis,2013,30443
Lincoln,2013,35092
Livingston,2013,41177
Logan,2013,39513
Lyon,2013,43311
McCracken,2013,42069
McCreary,2013,24406
McLean,2013,38128
Madison,2013,44845
Magoffin,2013,29817
Marion,2013,39665
Marshall,2013,44157
Martin,2013,26931
Mason,2013,42329
Meade,2013,45984
Menifee,2013,30047
Mercer,2013,43903
Metcalfe,2013,30899
Monroe,2013,29900
Montgomery,2013,41326
Morgan,2013,31579
Muhlenberg,2013,37048
Nelson,2013,49444
Nicholas,2013,37006
Ohio,2013,40622
Oldham,2013,86580
Owen,2013,42134
Owsley,2013,22715
Pendleton,2013,45570
Perry,2013,32300
Pike,2013,35071
Powell,2013,31923
Pulaski,2013,34355
Robertson,2013,38101
Rockcastle,2013,33131
Rowan,2013,37690
Russell,2013,30985
Scott,2013,61906
Shelby,2013,56808
Simpson,2013,39117
Spencer,2013,66711
Taylor,2013,36599
Todd,2013,38533
