Location,TimeFrame,SINGLE_PARENT_PCT
Adair,2008-2012,0.25
Adair,2009-2013,0.21
Adair,2010-2014,0.18
Adair,2011-2015,0.23
Adair,2012-2016,0.23
Adair,2013-2017,0.23
Allen,2007-2011,0.3
Allen,2008-2012,0.29
Allen,2009-2013,0.27
Allen,2010-2014,0.23
Allen,2011-2015,0.18
Allen,2012-2016,0.21
Allen,2013-2017,0.26
Anderson,2007-2011,0.25
Anderson,2008-2012,0.27
Anderson,2009-2013,0.3
Anderson,2010-2014,0.28
Anderson,2011-2015,0.29
Anderson,2012-2016,0.28
Anderson,2013-2017,0.24
Ballard,2007-2011,0.18
Ballard,2008-2012,0.17
Ballard,2009-2013,0.16
Ballard,2010-2014,0.18
Ballard,2011-2015,0.26
Ballard,2012-2016,0.3
Ballard,2013-2017,0.33
Barren,2007-2011,0.26
Barren,2008-2012,0.25
Barren,2009-2013,0.27
Barren,2010-2014,0.26
Barren,2011-2015,0.27
Barren,2012-2016,0.27
Barren,2013-2017,0.28
Bath,2007-2011,0.36
Bath,2008-2012,0.37
Bath,2009-2013,0.32
Bath,2010-2014,0.31
Bath,2011-2015,0.3
Bath,2012-2016,0.31
Bath,2013-2017,0.33
Bell,2007-2011,0.37
Bell,2008-2012,0.36
Bell,2009-2013,0.39
Bell,2010-2014,0.37
Bell,2011-2015,0.4
Bell,2012-2016,0.38
Bell,2013-2017,0.39
Boone,2007-2011,0.19
Boone,2008-2012,0.2
Boone,2009-2013,0.21
Boone,2010-2014,0.21
Boone,2011-2015,0.24
Boone,2012-2016,0.26
Boone,2013-2017,0.23
Bourbon,2007-2011,0.31
Bourbon,2008-2012,0.36
Bourbon,2009-2013,0.33
Bourbon,2010-2014,0.36
Bourbon,2011-2015,0.36
Bourbon,2012-2016,0.38
Bourbon,2013-2017,0.34
Boyd,2007-2011,0.31
Boyd,2008-2012,0.3
Boyd,2009-2013,0.28
Boyd,2010-2014,0.31
Boyd,2011-2015,0.34
Boyd,2012-2016,0.35
Boyd,2013-2017,0.33
Boyle,2007-2011,0.38
Boyle,2008-2012,0.41
Boyle,2009-2013,0.41
Boyle,2010-2014,0.35
Boyle,2011-2015,0.25
Boyle,2012-2016,0.24
Boyle,2013-2017,0.26
Bracken,2007-2011,0.28
Bracken,2008-2012,0.25
Bracken,2009-2013,0.25
Bracken,2010-2014,0.22
Bracken,2011-2015,0.24
Bracken,2012-2016,0.22
Bracken,2013-2017,0.23
Breathitt,2007-2011,0.42
Breathitt,2008-2012,0.44
Breathitt,2009-2013,0.4
Breathitt,2010-2014,0.33
Breathitt,2011-2015,0.37
Breathitt,2012-2016,0.36
Breathitt,2013-2017,0.34
Breckinridge,2007-2011,0.26
Breckinridge,2008-2012,0.21
Breckinridge,2009-2013,0.24
Breckinridge,2010-2014,0.22
Breckinridge,2011-2015,0.22
Breckinridge,2012-2016,0.2
Breckinridge,2013-2017,0.19
Bullitt,2007-2011,0.29
Bullitt,2008-2012,0.3
Bullitt,2009-2013,0.31
Bullitt,2010-2014,0.31
Bullitt,2011-2015,0.31
Bullitt,2012-2016,0.3
Bullitt,2013-2017,0.29
Butler,2007-2011,0.26
Butler,2008-2012,0.29
Butler,2009-2013,0.27
Butler,2010-2014,0.33
Butler,2011-2015,0.28
Butler,2012-2016,0.31
Butler,2013-2017,0.27
Caldwell,2007-2011,0.28
Caldwell,2008-2012,0.35
Caldwell,2009-2013,0.35
Caldwell,2010-2014,0.35
Caldwell,2011-2015,0.38
Caldwell,2012-2016,0.33
Caldwell,2013-2017,0.27
Calloway,2007-2011,0.24
Calloway,2008-2012,0.2
Calloway,2009-2013,0.23
Calloway,2010-2014,0.24
Calloway,2011-2015,0.27
Calloway,2012-2016,0.27
Calloway,2013-2017,0.29
Campbell,2007-2011,0.26
Campbell,2008-2012,0.27
Campbell,2009-2013,0.3
Campbell,2010-2014,0.3
Campbell,2011-2015,0.31
Campbell,2012-2016,0.33
Campbell,2013-2017,0.32
Carlisle,2007-2011,0.19
Carlisle,2008-2012,0.21
Carlisle,2009-2013,0.21
Carlisle,2010-2014,0.25
Carlisle,2011-2015,0.22
Carlisle,2012-2016,0.24
Carlisle,2013-2017,0.23
Carroll,2007-2011,0.49
Carroll,2008-2012,0.5
Carroll,2009-2013,0.48
Carroll,2010-2014,0.45
Carroll,2011-2015,0.35
Carroll,2012-2016,0.36
Carroll,2013-2017,0.36
Carter,2007-2011,0.2
Carter,2008-2012,0.2
Carter,2009-2013,0.21
Carter,2010-2014,0.21
Carter,2011-2015,0.25
Carter,2012-2016,0.26
Carter,2013-2017,0.3
Casey,2007-2011,0.21
Casey,2008-2012,0.24
Casey,2009-2013,0.21
Casey,2010-2014,0.16
Casey,2011-2015,0.18
Casey,2012-2016,0.16
Casey,2013-2017,0.15
Christian,2007-2011,0.32
Christian,2008-2012,0.32
Christian,2009-2013,0.27
Christian,2010-2014,0.27
Christian,2011-2015,0.25
Christian,2012-2016,0.27
Christian,2013-2017,0.3
Clark,2007-2011,0.27
Clark,2008-2012,0.25
Clark,2009-2013,0.27
Clark,2010-2014,0.29
Clark,2011-2015,0.31
Clark,2012-2016,0.33
Clark,2013-2017,0.31
Clay,2007-2011,0.24
Clay,2008-2012,0.27
Clay,2009-2013,0.36
Clay,2010-2014,0.32
Clay,2011-2015,0.32
Clay,2012-2016,0.33
Clay,2013-2017,0.31
Clinton,2007-2011,0.41
Clinton,2008-2012,0.45
Clinton,2009-2013,0.35
