Location,TimeFrame,SNAP_CNT
Adair,2000,760
Adair,2005,961
Adair,2006,959
Adair,2007,997
Adair,2008,1028
Adair,2009,1160
Adair,2010,1197
Adair,2011,1275
Adair,2012,1331
Adair,2013,1321
Adair,2014,1297
Adair,2015,1238
Adair,2016,1202
Adair,2017,1310
Adair,2018,1221
Allen,2000,516
Allen,2005,953
Allen,2006,990
Allen,2007,1081
Allen,2008,1120
Allen,2009,1267
Allen,2010,1324
Allen,2011,1414
Allen,2012,1433
Allen,2013,1415
Allen,2014,1284
Allen,2015,1228
Allen,2016,1103
Allen,2017,1168
Allen,2018,1124
Anderson,2000,297
Anderson,2005,667
Anderson,2006,674
Anderson,2007,747
Anderson,2008,846
Anderson,2009,1045
Anderson,2010,1218
Anderson,2011,1253
Anderson,2012,1155
Anderson,2013,1088
Anderson,2014,1008
Anderson,2015,927
Anderson,2016,937
Anderson,2017,964
Anderson,2018,906
Ballard,2000,303
Ballard,2005,387
Ballard,2006,390
Ballard,2007,383
Ballard,2008,354
Ballard,2009,401
Ballard,2010,503
Ballard,2011,544
Ballard,2012,568
Ballard,2013,558
Ballard,2014,490
Ballard,2015,447
Ballard,2016,425
Ballard,2017,447
Ballard,2018,448
Barren,2000,1367
Barren,2005,2193
Barren,2006,2331
Barren,2007,2323
Barren,2008,2485
Barren,2009,2807
Barren,2010,2928
Barren,2011,3065
Barren,2012,3194
Barren,2013,3250
Barren,2014,3078
Barren,2015,2862
Barren,2016,2624
Barren,2017,2888
Barren,2018,2800
Bath,2000,755
Bath,2005,925
Bath,2006,962
Bath,2007,1029
Bath,2008,1108
Bath,2009,1181
Bath,2010,1224
Bath,2011,1279
Bath,2012,1241
Bath,2013,1273
Bath,2014,1186
Bath,2015,1094
Bath,2016,993
Bath,2017,1090
Bath,2018,1043
Bell,2000,2754
Bell,2005,3167
Bell,2006,3181
Bell,2007,3283
Bell,2008,3194
Bell,2009,3302
Bell,2010,3381
Bell,2011,3470
Bell,2012,3537
Bell,2013,3547
Bell,2014,3311
Bell,2015,3174
Bell,2016,2990
Bell,2017,3182
Bell,2018,3064
Boone,2000,1058
Boone,2005,2467
Boone,2006,2796
Boone,2007,3012
Boone,2008,3159
Boone,2009,3936
Boone,2010,4597
Boone,2011,4864
Boone,2012,4743
Boone,2013,5022
Boone,2014,4666
Boone,2015,4254
Boone,2016,3840
Boone,2017,4114
Boone,2018,3867
Bourbon,2000,569
Bourbon,2005,887
Bourbon,2006,937
Bourbon,2007,1037
Bourbon,2008,1090
Bourbon,2009,1293
Bourbon,2010,1417
Bourbon,2011,1516
Bourbon,2012,1561
Bourbon,2013,1623
Bourbon,2014,1488
Bourbon,2015,1363
Bourbon,2016,1260
Bourbon,2017,1350
Bourbon,2018,1367
Boyd,2000,2391
Boyd,2005,3061
Boyd,2006,3069
Boyd,2007,3083
Boyd,2008,2978
Boyd,2009,3232
Boyd,2010,3340
Boyd,2011,3514
Boyd,2012,3612
Boyd,2013,3620
Boyd,2014,3335
Boyd,2015,3157
Boyd,2016,3060
Boyd,2017,3289
Boyd,2018,3087
Boyle,2000,766
Boyle,2005,1338
Boyle,2006,1304
Boyle,2007,1316
Boyle,2008,1374
Boyle,2009,1500
Boyle,2010,1710
Boyle,2011,1880
Boyle,2012,1948
Boyle,2013,1883
Boyle,2014,1708
Boyle,2015,1615
Boyle,2016,1548
Boyle,2017,1597
Boyle,2018,1537
Bracken,2000,240
Bracken,2005,484
Bracken,2006,522
Bracken,2007,562
Bracken,2008,588
Bracken,2009,706
Bracken,2010,739
Bracken,2011,723
Bracken,2012,732
Bracken,2013,721
Bracken,2014,655
Bracken,2015,621
Bracken,2016,522
Bracken,2017,558
Bracken,2018,537
Breathitt,2000,1706
Breathitt,2005,1701
Breathitt,2006,1676
Breathitt,2007,1680
Breathitt,2008,1596
Breathitt,2009,1603
Breathitt,2010,1666
Breathitt,2011,1679
Breathitt,2012,1681
Breathitt,2013,1704
Breathitt,2014,1633
Breathitt,2015,1619
Breathitt,2016,1489
Breathitt,2017,1571
Breathitt,2018,1519
Breckinridge,2000,733
Breckinridge,2005,1089
Breckinridge,2006,1121
Breckinridge,2007,1147
Breckinridge,2008,1197
Breckinridge,2009,1366
Breckinridge,2010,1466
Breckinridge,2011,1514
Breckinridge,2012,1485
Breckinridge,2013,1420
Breckinridge,2014,1297
Breckinridge,2015,1283
Breckinridge,2016,1235
Breckinridge,2017,1348
Breckinridge,2018,1243
Bullitt,2000,1504
Bullitt,2005,2747
Bullitt,2006,2832
Bullitt,2007,2854
Bullitt,2008,2885
Bullitt,2009,3298
Bullitt,2010,3604
Bullitt,2011,3873
Bullitt,2012,3978
Bullitt,2013,4025
Bullitt,2014,3658
Bullitt,2015,3282
Bullitt,2016,2868
Bullitt,2017,3013
Bullitt,2018,2748
Butler,2000,618
Butler,2005,878
Butler,2006,891
Butler,2007,835
Butler,2008,833
Butler,2009,980
Butler,2010,1040
Butler,2011,1100
Butler,2012,1091
Butler,2013,1081
Butler,2014,1052
Butler,2015,953
Butler,2016,875
Butler,2017,899
Butler,2018,867
Caldwell,2000,542
Caldwell,2005,717
Caldwell,2006,724
Caldwell,2007,726
Caldwell,2008,727
Caldwell,2009,796
Caldwell,2010,911
Caldwell,2011,968
Caldwell,2012,980
Caldwell,2013,953
Caldwell,2014,837
Caldwell,2015,783
Caldwell,2016,755
Caldwell,2017,801
Caldwell,2018,766
Calloway,2000,903
Calloway,2005,1204
Calloway,2006,1230
Calloway,2007,1204
Calloway,2008,1189
Calloway,2009,1341
Calloway,2010,1480
Calloway,2011,1633
Calloway,2012,1715
Calloway,2013,1780
Calloway,2014,1590
Calloway,2015,1478
Calloway,2016,1277
Calloway,2017,1439
Calloway,2018,1404
Campbell,2000,2379
Campbell,2005,3425
Campbell,2006,3416
Campbell,2007,3501
Campbell,2008,3403
Campbell,2009,3803
Campbell,2010,4228
Campbell,2011,4597
Campbell,2012,4487
Campbell,2013,4519
Campbell,2014,4169
Campbell,2015,3884
Campbell,2016,3383
Campbell,2017,3518
Campbell,2018,3361
Carlisle,2000,152
Carlisle,2005,210
Carlisle,2006,217
Carlisle,2007,219
Carlisle,2008,233
Carlisle,2009,298
Carlisle,2010,329
Carlisle,2011,325
Carlisle,2012,346
Carlisle,2013,382
Carlisle,2014,323
Carlisle,2015,282
Carlisle,2016,255
Carlisle,2017,293
Carlisle,2018,284
Carroll,2000,390
Carroll,2005,552
Carroll,2006,581
Carroll,2007,619
Carroll,2008,732
Carroll,2009,938
Carroll,2010,1040
Carroll,2011,1114
Carroll,2012,1129
Carroll,2013,1082
Carroll,2014,1022
Carroll,2015,935
Carroll,2016,889
Carroll,2017,893
Carroll,2018,811
Carter,2000,1851
Carter,2005,2441
Carter,2006,2451
Carter,2007,2477
Carter,2008,2393
Carter,2009,2519
Carter,2010,2553
Carter,2011,2532
Carter,2012,2560
Carter,2013,2530
Carter,2014,2290
Carter,2015,2151
Carter,2016,1936
Carter,2017,2027
Carter,2018,1943
Casey,2000,719
Casey,2005,1230
Casey,2006,1246
Casey,2007,1235
Casey,2008,1230
Casey,2009,1286
Casey,2010,1360
Casey,2011,1436
Casey,2012,1480
Casey,2013,1454
Casey,2014,1299
Casey,2015,1267
Casey,2016,1214
Casey,2017,1300
Casey,2018,1275
Christian,2000,3322
Christian,2005,4604
Christian,2006,4802
Christian,2007,5040
Christian,2008,5037
Christian,2009,5437
Christian,2010,5759
Christian,2011,5422
Christian,2012,5264
Christian,2013,5313
Christian,2014,4755
Christian,2015,4499
Christian,2016,4379
Christian,2017,4765
Christian,2018,4719
Clark,2000,1348
Clark,2005,1945
Clark,2006,2071
Clark,2007,2265
Clark,2008,2363
Clark,2009,2457
Clark,2010,2644
Clark,2011,2645
Clark,2012,2652
Clark,2013,2578
Clark,2014,2295
Clark,2015,2133
Clark,2016,2051
Clark,2017,2214
Clark,2018,2125
Clay,2000,2666
Clay,2005,2734
Clay,2006,2697
Clay,2007,2644
Clay,2008,2547
Clay,2009,2624
Clay,2010,2718
Clay,2011,2708
Clay,2012,2688
Clay,2013,2631
Clay,2014,2467
Clay,2015,2433
Clay,2016,2280
Clay,2017,2490
Clay,2018,2411
Clinton,2000,602
Clinton,2005,820
Clinton,2006,834
Clinton,2007,835
Clinton,2008,847
Clinton,2009,855
Clinton,2010,903
Clinton,2011,957
Clinton,2012,988
Clinton,2013,969
Clinton,2014,955
Clinton,2015,936
Clinton,2016,861
Clinton,2017,991
Clinton,2018,942
Crittenden,2000,380
Crittenden,2005,441
Crittenden,2006,437
Crittenden,2007,449
Crittenden,2008,422
Crittenden,2009,462
Crittenden,2010,492
Crittenden,2011,493
Crittenden,2012,507
Crittenden,2013,477
Crittenden,2014,441
Crittenden,2015,453
Crittenden,2016,422
Crittenden,2017,459
Crittenden,2018,407
Cumberland,2000,412
Cumberland,2005,503
Cumberland,2006,502
Cumberland,2007,493
Cumberland,2008,469
Cumberland,2009,531
Cumberland,2010,578
Cumberland,2011,596
Cumberland,2012,601
Cumberland,2013,602
Cumberland,2014,569
Cumberland,2015,543
Cumberland,2016,497
Cumberland,2017,511
Cumberland,2018,470
Daviess,2000,3580
Daviess,2005,5218
Daviess,2006,5197
Daviess,2007,5225
Daviess,2008,5254
Daviess,2009,5826
Daviess,2010,6325
Daviess,2011,6527
Daviess,2012,6514
Daviess,2013,6616
Daviess,2014,6300
Daviess,2015,5836
Daviess,2016,5331
Daviess,2017,5646
Daviess,2018,5338
Edmonson,2000,518
Edmonson,2005,693
Edmonson,2006,666
Edmonson,2007,630
Edmonson,2008,630
Edmonson,2009,764
Edmonson,2010,790
Edmonson,2011,844
Edmonson,2012,816
Edmonson,2013,793
Edmonson,2014,738
Edmonson,2015,717
Edmonson,2016,692
Edmonson,2017,718
Edmonson,2018,679
