Location,Age group,TimeFrame,CHILD_POP_CNT,,
Adair,0-17,2011,4147,,
Adair,0-17,2012,4135,,
Adair,0-17,2013,3964,,
Adair,0-17,2014,4030,,
Adair,0-17,2015,3983,,
Adair,0-17,2016,3948,,
Adair,0-17,2017,3972,,
Allen,0-17,2011,4844,,
Allen,0-17,2012,4784,,
Allen,0-17,2013,4853,,
Allen,0-17,2014,4865,,
Allen,0-17,2015,4977,,
Allen,0-17,2016,4929,,
Allen,0-17,2017,4934,,
Anderson,0-17,2011,5439,,
Anderson,0-17,2012,5372,,
Anderson,0-17,2013,5288,,
Anderson,0-17,2014,5230,,
Anderson,0-17,2015,5252,,
Anderson,0-17,2016,5248,,
Anderson,0-17,2017,5422,,
Ballard,0-17,2011,1808,,
Ballard,0-17,2012,1876,,
Ballard,0-17,2013,1860,,
Ballard,0-17,2014,1801,,
Ballard,0-17,2015,1804,,
Ballard,0-17,2016,1747,,
Ballard,0-17,2017,1734,,
Barren,0-17,2011,10120,,
Barren,0-17,2012,10053,,
Barren,0-17,2013,10160,,
Barren,0-17,2014,10216,,
Barren,0-17,2015,10263,,
Barren,0-17,2016,10444,,
Barren,0-17,2017,10347,,
Bath,0-17,2011,2901,,
Bath,0-17,2012,2924,,
Bath,0-17,2013,2968,,
Bath,0-17,2014,3091,,
Bath,0-17,2015,3044,,
Bath,0-17,2016,3127,,
Bath,0-17,2017,3154,,
Bell,0-17,2011,6284,,
Bell,0-17,2012,6228,,
Bell,0-17,2013,5958,,
Bell,0-17,2014,5990,,
Bell,0-17,2015,5809,,
Bell,0-17,2016,5748,,
Bell,0-17,2017,5668,,
Boone,0-17,2011,34015,,
Boone,0-17,2012,34156,,
Boone,0-17,2013,34322,,
Boone,0-17,2014,34547,,
Boone,0-17,2015,34843,,
Boone,0-17,2016,34579,,
Boone,0-17,2017,34416,,
Bourbon,0-17,2011,4792,,
Bourbon,0-17,2012,4704,,
Bourbon,0-17,2013,4675,,
Bourbon,0-17,2014,4535,,
Bourbon,0-17,2015,4553,,
Bourbon,0-17,2016,4536,,
Bourbon,0-17,2017,4510,,
Boyd,0-17,2011,10564,,
Boyd,0-17,2012,10475,,
Boyd,0-17,2013,10310,,
Boyd,0-17,2014,10376,,
Boyd,0-17,2015,10186,,
Boyd,0-17,2016,10332,,
Boyd,0-17,2017,10320,,
Boyle,0-17,2011,6089,,
Boyle,0-17,2012,6067,,
Boyle,0-17,2013,6025,,
Boyle,0-17,2014,6029,,
Boyle,0-17,2015,6033,,
Boyle,0-17,2016,6115,,
Boyle,0-17,2017,6012,,
Bracken,0-17,2011,2145,,
